"","agency_cd","site_no","Date","X_99133_00003","X_99133_00003_cd"
"1","USGS","07020850",2014-04-17,2.18,"A"
"2","USGS","07020850",2014-04-18,2.13,"A"
"3","USGS","07020850",2014-04-19,2.01,"A"
"4","USGS","07020850",2014-04-20,1.93,"A"
"5","USGS","07020850",2014-04-21,1.93,"A"
"6","USGS","07020850",2014-04-22,2.02,"A"
"7","USGS","07020850",2014-04-23,2.11,"A"
"8","USGS","07020850",2014-04-24,2.21,"A"
"9","USGS","07020850",2014-04-25,2.34,"A"
"10","USGS","07020850",2014-04-26,2.35,"A"
"11","USGS","07020850",2014-04-27,2.25,"A"
"12","USGS","07020850",2014-04-28,1.9,"A"
"13","USGS","07020850",2014-04-29,2.01,"A"
"14","USGS","07020850",2014-05-26,3.19,"A"
"15","USGS","07020850",2014-05-27,3.14,"A"
"16","USGS","07020850",2014-05-28,2.99,"A"
"17","USGS","07020850",2014-05-29,2.83,"A"
"18","USGS","07020850",2014-05-30,2.7,"A"
"19","USGS","07020850",2014-05-31,2.52,"A"
"20","USGS","07020850",2014-06-01,2.33,"A"
"21","USGS","07020850",2014-06-02,2.18,"A"
"22","USGS","07020850",2014-06-03,2.08,"A"
"23","USGS","07020850",2014-06-04,1.97,"A"
"24","USGS","07020850",2014-06-05,1.9,"A"
"25","USGS","07020850",2014-06-06,1.87,"A"
"26","USGS","07020850",2014-06-07,1.85,"A"
"27","USGS","07020850",2014-07-26,3.2,"A"
"28","USGS","07020850",2014-07-27,3.09,"A"
"29","USGS","07020850",2014-07-28,2.99,"A"
"30","USGS","07020850",2014-07-31,2.69,"A"
"31","USGS","07020850",2014-08-01,2.53,"A"
"32","USGS","07020850",2014-08-02,2.49,"A"
"33","USGS","07020850",2014-08-03,2.49,"A"
"34","USGS","07020850",2014-08-04,2.45,"A"
"35","USGS","07020850",2014-08-05,2.34,"A"
"36","USGS","07020850",2014-08-06,2.23,"A"
"37","USGS","07020850",2014-08-07,2,"A"
"38","USGS","07020850",2014-08-08,1.99,"A"
"39","USGS","07020850",2014-08-09,2.09,"A"
"40","USGS","07020850",2014-08-10,2.1,"A"
"41","USGS","07020850",2014-08-11,2,"A"
"42","USGS","07020850",2014-08-12,1.9,"A"
"43","USGS","07020850",2014-08-13,1.79,"A"
"44","USGS","07020850",2014-08-14,1.79,"A"
"45","USGS","07020850",2014-08-15,1.86,"A"
"46","USGS","07020850",2014-08-16,1.87,"A"
"47","USGS","07020850",2014-08-17,1.81,"A"
"48","USGS","07020850",2014-08-18,1.75,"A"
"49","USGS","07020850",2014-08-19,1.75,"A"
"50","USGS","07020850",2014-08-20,1.84,"A"
"51","USGS","07020850",2014-08-21,1.77,"A"
"52","USGS","07020850",2014-08-29,1.33,"A"
"53","USGS","07020850",2014-08-30,1.22,"A"
"54","USGS","07020850",2014-08-31,1.22,"A"
"55","USGS","07020850",2014-11-18,2.19,"A"
"56","USGS","07020850",2014-11-19,2.17,"A"
"57","USGS","07020850",2014-11-20,2.11,"A"
"58","USGS","07020850",2014-11-21,2.07,"A"
"59","USGS","07020850",2014-11-22,2.02,"A"
