"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","05418720",2014-04-09,1050,"A e",NA,NA
"2","USGS","05418720",2014-04-10,1030,"A e",NA,NA
"3","USGS","05418720",2014-04-11,1060,"A e",NA,NA
"4","USGS","05418720",2014-04-12,1020,"A e",NA,NA
"5","USGS","05418720",2014-04-13,2440,"A",NA,NA
"6","USGS","05418720",2014-04-14,4640,"A",NA,NA
"7","USGS","05418720",2014-04-15,9020,"A",NA,NA
"8","USGS","05418720",2014-04-16,7500,"A",NA,NA
"9","USGS","05418720",2014-04-17,4880,"A e",NA,NA
"10","USGS","05418720",2014-04-18,3810,"A e",NA,NA
"11","USGS","05418720",2014-04-19,2870,"A e",NA,NA
"12","USGS","05418720",2014-04-20,2540,"A e",NA,NA
"13","USGS","05418720",2014-04-21,2420,"A e",NA,NA
"14","USGS","05418720",2014-04-22,2020,"A e",NA,NA
"15","USGS","05418720",2014-04-23,1940,"A e",NA,NA
"16","USGS","05418720",2014-04-24,1720,"A e",NA,NA
"17","USGS","05418720",2014-04-25,1780,"A e",NA,NA
"18","USGS","05418720",2014-04-26,1690,"A e",NA,NA
"19","USGS","05418720",2014-04-27,1750,"A e",NA,NA
"20","USGS","05418720",2014-04-28,2230,"A e",NA,NA
"21","USGS","05418720",2014-04-29,2770,"A e",NA,NA
"22","USGS","05418720",2014-04-30,2830,"A e",NA,NA
"23","USGS","05418720",2014-05-01,2600,"A e",NA,NA
"24","USGS","05418720",2014-05-02,2470,"A e",NA,NA
"25","USGS","05418720",2014-05-03,2340,"A e",NA,NA
"26","USGS","05418720",2014-05-04,2150,"A e",NA,NA
"27","USGS","05418720",2014-05-05,2000,"A e",NA,NA
"28","USGS","05418720",2014-05-06,1850,"A e",NA,NA
"29","USGS","05418720",2014-05-07,1740,"A e",NA,NA
"30","USGS","05418720",2014-05-08,1670,"A e",NA,NA
"31","USGS","05418720",2014-05-09,1630,"A e",NA,NA
"32","USGS","05418720",2014-05-10,1570,"A e",NA,NA
"33","USGS","05418720",2014-05-11,1520,"A e",NA,NA
"34","USGS","05418720",2014-05-12,1550,"A e",NA,NA
"35","USGS","05418720",2014-05-13,1620,"A e",NA,NA
"36","USGS","05418720",2014-05-14,1610,"A e",NA,NA
"37","USGS","05418720",2014-05-15,1870,"A e",NA,NA
"38","USGS","05418720",2014-05-16,1970,"A e",NA,NA
"39","USGS","05418720",2014-05-17,1900,"A e",NA,NA
"40","USGS","05418720",2014-05-18,1900,"A e",NA,NA
"41","USGS","05418720",2014-05-19,1810,"A e",NA,NA
"42","USGS","05418720",2014-05-20,1720,"A e",NA,NA
"43","USGS","05418720",2014-05-21,1720,"A e",NA,NA
"44","USGS","05418720",2014-05-22,1650,"A e",NA,NA
"45","USGS","05418720",2014-05-23,1540,"A e",7.96,"A"
"46","USGS","05418720",2014-05-24,1450,"A e",7.61,"A"
"47","USGS","05418720",2014-05-25,1400,"A e",7.11,"A"
"48","USGS","05418720",2014-05-26,1380,"A e",6.82,"A"
"49","USGS","05418720",2014-05-27,1330,"A e",6.34,"A"
"50","USGS","05418720",2014-05-28,1280,"A e",5.95,"A"
"51","USGS","05418720",2014-05-29,1290,"A e",5.65,"A"
"52","USGS","05418720",2014-05-30,1250,"A e",5.34,"A"
"53","USGS","05418720",2014-05-31,1200,"A e",4.98,"A"
"54","USGS","05418720",2014-06-01,1310,"A e",4.75,"A"
"55","USGS","05418720",2014-06-02,1570,"A e",4.7,"A"
"56","USGS","05418720",2014-06-03,1480,"A e",4.79,"A"
"57","USGS","05418720",2014-06-04,1380,"A e",NA,NA
"58","USGS","05418720",2014-06-05,1330,"A e",NA,NA
"59","USGS","05418720",2014-06-06,1240,"A e",6.19,"A"
"60","USGS","05418720",2014-06-07,1200,"A e",5.74,"A"
"61","USGS","05418720",2014-06-08,1240,"A e",5.68,"A"
"62","USGS","05418720",2014-06-09,1340,"A e",5.72,"A"
"63","USGS","05418720",2014-06-10,1300,"A e",5.71,"A"
"64","USGS","05418720",2014-06-11,1230,"A e",6.49,"A"
"65","USGS","05418720",2014-06-12,1160,"A e",6.6,"A"
"66","USGS","05418720",2014-06-13,1110,"A e",6.02,"A"
"67","USGS","05418720",2014-06-14,1110,"A e",5.5,"A"
"68","USGS","05418720",2014-06-15,1110,"A e",5.07,"A"
"69","USGS","05418720",2014-06-16,1190,"A e",4.83,"A"
"70","USGS","05418720",2014-06-17,4430,"A e",4.8,"A"
"71","USGS","05418720",2014-06-18,5690,"A e",7.86,"A"
"72","USGS","05418720",2014-06-19,4770,"A e",12.1,"A"
"73","USGS","05418720",2014-06-20,10100,"A e",10.5,"A"
"74","USGS","05418720",2014-06-21,8470,"A e",11.1,"A"
"75","USGS","05418720",2014-06-22,8120,"A e",12.6,"A"
"76","USGS","05418720",2014-06-23,6260,"A e",13.6,"A"
"77","USGS","05418720",2014-06-24,5530,"A e",14,"A"
"78","USGS","05418720",2014-06-25,5190,"A e",15.4,"A"
"79","USGS","05418720",2014-06-26,4190,"A e",15.6,"A"
"80","USGS","05418720",2014-06-27,3320,"A e",14.8,"A"
"81","USGS","05418720",2014-06-28,2880,"A e",13.8,"A"
"82","USGS","05418720",2014-06-29,3070,"A e",12.5,"A"
"83","USGS","05418720",2014-06-30,16100,"A",6.42,"A"
"84","USGS","05418720",2014-07-01,25200,"A",NA,NA
"85","USGS","05418720",2014-07-02,28000,"A",NA,NA
"86","USGS","05418720",2014-07-03,18900,"A",10.8,"A"
"87","USGS","05418720",2014-07-04,9480,"A e",12.8,"A"
"88","USGS","05418720",2014-07-05,5770,"A e",12.9,"A"
"89","USGS","05418720",2014-07-06,4500,"A e",12.4,"A"
"90","USGS","05418720",2014-07-07,3670,"A e",12,"A"
"91","USGS","05418720",2014-07-08,3070,"A e",11.6,"A"
"92","USGS","05418720",2014-07-09,2950,"A e",11,"A"
"93","USGS","05418720",2014-07-10,2600,"A e",10.4,"A"
"94","USGS","05418720",2014-07-11,2600,"A e",9.97,"A"
"95","USGS","05418720",2014-07-12,2570,"A e",9.32,"A"
"96","USGS","05418720",2014-07-13,5150,"A e",7.16,"A"
"97","USGS","05418720",2014-07-14,3390,"A e",6.09,"A"
"98","USGS","05418720",2014-07-15,2630,"A e",7.36,"A"
"99","USGS","05418720",2014-07-16,2380,"A e",8.32,"A"
"100","USGS","05418720",2014-07-17,2250,"A e",8.54,"A"
"101","USGS","05418720",2014-07-18,2000,"A e",8.46,"A"
"102","USGS","05418720",2014-07-19,2030,"A e",8.18,"A"
"103","USGS","05418720",2014-07-20,1930,"A e",7.82,"A"
"104","USGS","05418720",2014-07-21,1870,"A e",7.36,"A"
"105","USGS","05418720",2014-07-22,1750,"A e",6.85,"A"
"106","USGS","05418720",2014-07-23,1780,"A e",6.45,"A"
"107","USGS","05418720",2014-07-24,1710,"A e",6.03,"A"
