"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","05576195",2015-06-13,NA,NA,12.2,"A"
"2","USGS","05576195",2015-06-14,NA,NA,10.9,"A"
"3","USGS","05576195",2015-06-15,NA,NA,10.6,"A"
"4","USGS","05576195",2015-06-16,NA,NA,11.1,"A"
"5","USGS","05576195",2015-06-17,NA,NA,10.4,"A"
"6","USGS","05576195",2015-06-18,NA,NA,10.2,"A"
"7","USGS","05576195",2015-06-19,NA,NA,8,"A"
"8","USGS","05576195",2015-06-20,NA,NA,8.38,"A"
"9","USGS","05576195",2015-06-21,NA,NA,9.49,"A"
"10","USGS","05576195",2015-06-22,NA,NA,8.25,"A"
"11","USGS","05576195",2015-06-23,NA,NA,10,"A"
"12","USGS","05576195",2015-06-24,NA,NA,11.1,"A"
"13","USGS","05576195",2015-06-25,NA,NA,7.23,"A"
"14","USGS","05576195",2015-06-26,NA,NA,6.16,"A"
"15","USGS","05576195",2015-06-27,NA,NA,5.23,"A"
"16","USGS","05576195",2015-06-28,NA,NA,8.34,"A"
"17","USGS","05576195",2015-06-29,NA,NA,10.1,"A"
"18","USGS","05576195",2015-06-30,NA,NA,11.3,"A"
"19","USGS","05576195",2015-07-01,NA,NA,11.7,"A"
"20","USGS","05576195",2015-07-02,NA,NA,11.9,"A"
"21","USGS","05576195",2015-07-03,NA,NA,11.8,"A"
"22","USGS","05576195",2015-07-04,NA,NA,11.8,"A"
"23","USGS","05576195",2015-07-05,NA,NA,11.7,"A"
"24","USGS","05576195",2015-07-06,NA,NA,11.5,"A"
"25","USGS","05576195",2015-07-07,NA,NA,9.26,"A"
"26","USGS","05576195",2015-07-08,NA,NA,8.01,"A"
"27","USGS","05576195",2015-07-09,NA,NA,4.27,"A"
"28","USGS","05576195",2015-07-10,NA,NA,7.38,"A"
"29","USGS","05576195",2015-07-11,NA,NA,8.83,"A"
"30","USGS","05576195",2015-07-12,NA,NA,5.74,"A"
"31","USGS","05576195",2015-07-13,NA,NA,6.63,"A"
"32","USGS","05576195",2015-07-14,NA,NA,9.16,"A"
"33","USGS","05576195",2015-07-15,NA,NA,10.4,"A"
"34","USGS","05576195",2015-07-16,NA,NA,10.9,"A"
"35","USGS","05576195",2015-07-17,NA,NA,11,"A"
"36","USGS","05576195",2015-07-18,NA,NA,11,"A"
"37","USGS","05576195",2015-07-19,NA,NA,9.6,"A"
"38","USGS","05576195",2015-07-20,NA,NA,9.63,"A"
"39","USGS","05576195",2015-07-23,NA,NA,9.93,"A"
"40","USGS","05576195",2015-07-24,NA,NA,9.37,"A"
"41","USGS","05576195",2015-07-25,NA,NA,9.64,"A"
"42","USGS","05576195",2015-07-26,NA,NA,9.7,"A"
"43","USGS","05576195",2015-07-27,NA,NA,9.61,"A"
"44","USGS","05576195",2015-07-28,NA,NA,9.46,"A"
"45","USGS","05576195",2015-07-29,NA,NA,9.36,"A"
"46","USGS","05576195",2015-07-30,NA,NA,9.16,"A"
