"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","03353415",2015-05-04,1.3,"A e"
"2","USGS","03353415",2015-05-05,1.21,"A"
"3","USGS","03353415",2015-05-06,1.1,"A"
"4","USGS","03353415",2015-05-07,1.07,"A"
"5","USGS","03353415",2015-05-08,1.06,"A"
"6","USGS","03353415",2015-05-09,1.05,"A"
"7","USGS","03353415",2015-05-10,1.8,"A"
"8","USGS","03353415",2015-05-11,2.28,"A"
"9","USGS","03353415",2015-05-12,1.86,"A"
"10","USGS","03353415",2015-05-13,1.49,"A"
"11","USGS","03353415",2015-05-14,1.26,"A"
"12","USGS","03353415",2015-05-15,1.4,"A"
"13","USGS","03353415",2015-05-16,1.37,"A"
"14","USGS","03353415",2015-05-17,1.32,"A"
"15","USGS","03353415",2015-05-18,1.37,"A"
"16","USGS","03353415",2015-05-19,1.21,"A"
"17","USGS","03353415",2015-05-20,1.1,"A"
"18","USGS","03353415",2015-05-21,0.86,"A"
"19","USGS","03353415",2015-05-22,0.69,"A"
"20","USGS","03353415",2015-05-23,0.43,"A"
"21","USGS","03353415",2015-05-24,0.35,"A"
"22","USGS","03353415",2015-05-25,0.43,"A"
"23","USGS","03353415",2015-05-26,0.53,"A"
"24","USGS","03353415",2015-05-27,0.55,"A"
"25","USGS","03353415",2015-05-28,0.49,"A"
"26","USGS","03353415",2015-05-29,0.48,"A"
"27","USGS","03353415",2015-05-30,2.01,"A"
"28","USGS","03353415",2015-05-31,8.23,"A"
"29","USGS","03353415",2015-06-01,3.98,"A"
"30","USGS","03353415",2015-06-02,2.2,"A"
"31","USGS","03353415",2015-06-03,1.6,"A"
"32","USGS","03353415",2015-06-04,1.22,"A"
"33","USGS","03353415",2015-06-05,0.97,"A"
"34","USGS","03353415",2015-06-06,0.85,"A"
"35","USGS","03353415",2015-06-07,0.95,"A"
"36","USGS","03353415",2015-06-08,11.1,"A"
"37","USGS","03353415",2015-06-09,9.38,"A"
"38","USGS","03353415",2015-06-10,4.57,"A"
"39","USGS","03353415",2015-06-11,2.64,"A"
"40","USGS","03353415",2015-06-12,2,"A"
"41","USGS","03353415",2015-06-13,2.01,"A"
"42","USGS","03353415",2015-06-14,1.68,"A"
"43","USGS","03353415",2015-06-15,2.03,"A"
