"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","05579630",2012-10-01,0.14,"A",0.07,"A"
"2","USGS","05579630",2012-10-02,0.14,"A",0.08,"A"
"3","USGS","05579630",2012-10-03,0.14,"A",0.05,"A"
"4","USGS","05579630",2012-10-04,0.16,"A",0.03,"A"
"5","USGS","05579630",2012-10-05,1.17,"A",0.24,"A"
"6","USGS","05579630",2012-10-06,0.4,"A",0.28,"A"
"7","USGS","05579630",2012-10-07,0.19,"A",0.09,"A"
"8","USGS","05579630",2012-10-08,0.17,"A",0.03,"A"
"9","USGS","05579630",2012-10-09,0.15,"A",0.03,"A"
"10","USGS","05579630",2012-10-10,0.15,"A",0.02,"A"
"11","USGS","05579630",2012-10-11,0.14,"A",0.01,"A"
"12","USGS","05579630",2012-10-12,0.13,"A",0,"A"
"13","USGS","05579630",2012-10-13,1.69,"A",0.2,"A"
"14","USGS","05579630",2012-10-14,8.22,"A",1.93,"A"
"15","USGS","05579630",2012-10-15,2.57,"A",2.93,"A"
"16","USGS","05579630",2012-10-16,1.44,"A",2.49,"A"
"17","USGS","05579630",2012-10-17,2.51,"A",1.93,"A"
"18","USGS","05579630",2012-10-18,5.3,"A",3.48,"A"
"19","USGS","05579630",2012-10-19,3.78,"A",3.86,"A"
"20","USGS","05579630",2012-10-20,6.88,"A",4.63,"A"
"21","USGS","05579630",2012-10-21,4.94,"A",5.97,"A"
"22","USGS","05579630",2012-10-22,6.59,"A",5.22,"A"
"23","USGS","05579630",2012-10-23,8.37,"A",6.43,"A"
"24","USGS","05579630",2012-10-24,5.93,"A",6.78,"A"
"25","USGS","05579630",2012-10-25,5.03,"A",6.17,"A"
"26","USGS","05579630",2012-10-26,10.7,"A",6.61,"A"
"27","USGS","05579630",2012-10-27,7.43,"A",7.5,"A"
"28","USGS","05579630",2012-10-28,5.75,"A",7.31,"A"
"29","USGS","05579630",2012-10-29,4.74,"A",7.16,"A"
"30","USGS","05579630",2012-10-30,4.47,"A",7.04,"A"
"31","USGS","05579630",2012-10-31,4,"A",6.9,"A"
"32","USGS","05579630",2012-11-01,3.57,"A",6.67,"A"
"33","USGS","05579630",2012-11-02,3.23,"A",6.41,"A"
"34","USGS","05579630",2012-11-03,3,"A",6.04,"A"
"35","USGS","05579630",2012-11-04,2.72,"A",5.83,"A"
"36","USGS","05579630",2012-11-05,2.66,"A",5.71,"A"
"37","USGS","05579630",2012-11-06,2.69,"A",5.59,"A"
"38","USGS","05579630",2012-11-07,2.65,"A",5.5,"A"
"39","USGS","05579630",2012-11-08,2.31,"A",5.22,"A"
"40","USGS","05579630",2012-11-09,2.38,"A",5.14,"A"
"41","USGS","05579630",2012-11-10,2.31,"A",4.97,"A"
"42","USGS","05579630",2012-11-11,2.29,"A",4.56,"A"
"43","USGS","05579630",2012-11-12,3.36,"A",3.96,"A"
"44","USGS","05579630",2012-11-13,2.59,"A",4.43,"A"
"45","USGS","05579630",2012-11-14,2.36,"A",4.78,"A"
"46","USGS","05579630",2012-11-15,2.32,"A",4.95,"A"
"47","USGS","05579630",2012-11-16,2.19,"A",4.82,"A"
"48","USGS","05579630",2012-11-17,2.05,"A",4.61,"A"
"49","USGS","05579630",2012-11-18,2.07,"A",4.64,"A"
"50","USGS","05579630",2012-11-19,2.11,"A",4.74,"A"
"51","USGS","05579630",2012-11-20,2.12,"A",4.75,"A"
"52","USGS","05579630",2012-11-21,1.94,"A",4.47,"A"
"53","USGS","05579630",2012-11-22,2.01,"A",4.3,"A"
"54","USGS","05579630",2012-11-23,1.92,"A",4.26,"A"
"55","USGS","05579630",2012-11-24,1.71,"A",4.32,"A"
"56","USGS","05579630",2012-11-25,1.9,"A",4.52,"A"
"57","USGS","05579630",2012-11-26,1.73,"A",4.42,"A"
"58","USGS","05579630",2012-11-27,1.57,"A",4.26,"A"
"59","USGS","05579630",2012-11-28,1.58,"A",4.21,"A"
"60","USGS","05579630",2012-11-29,1.61,"A",4.17,"A"
"61","USGS","05579630",2012-11-30,1.65,"A",4.23,"A"
"62","USGS","05579630",2012-12-01,1.62,"A",4.09,"A"
"63","USGS","05579630",2012-12-02,1.61,"A",3.84,"A"
"64","USGS","05579630",2012-12-03,1.54,"A",3.43,"A"
"65","USGS","05579630",2012-12-04,4.45,"A",3.2,"A"
"66","USGS","05579630",2012-12-05,3.35,"A",4.64,"A"
"67","USGS","05579630",2012-12-06,2.93,"A",5.22,"A"
"68","USGS","05579630",2012-12-07,2.82,"A",5.07,"A"
"69","USGS","05579630",2012-12-08,2.64,"A",5.22,"A"
"70","USGS","05579630",2012-12-09,2.59,"A",5.38,"A"
"71","USGS","05579630",2012-12-10,2.49,"A",5.37,"A"
"72","USGS","05579630",2012-12-11,2.18,"A",5.45,"A"
"73","USGS","05579630",2012-12-12,1.97,"A",5.38,"A"
"74","USGS","05579630",2012-12-13,1.93,"A",5.25,"A"
"75","USGS","05579630",2012-12-14,1.95,"A",5.14,"A"
"76","USGS","05579630",2012-12-15,2.67,"A",4.97,"A"
"77","USGS","05579630",2012-12-16,2.82,"A",4.79,"A"
"78","USGS","05579630",2012-12-17,2.64,"A",4.47,"A"
"79","USGS","05579630",2012-12-18,2.6,"A",4.74,"A"
"80","USGS","05579630",2012-12-19,2.4,"A",NA,NA
"81","USGS","05579630",2012-12-20,11.8,"A",NA,NA
"82","USGS","05579630",2012-12-21,11.1,"A",NA,NA
"83","USGS","05579630",2012-12-22,7.17,"A",NA,NA
"84","USGS","05579630",2012-12-23,6.43,"A",NA,NA
"85","USGS","05579630",2012-12-24,5.67,"A",NA,NA
"86","USGS","05579630",2012-12-25,4.62,"A",NA,NA
"87","USGS","05579630",2012-12-26,4.53,"A",NA,NA
"88","USGS","05579630",2012-12-27,4.05,"A",NA,NA
"89","USGS","05579630",2012-12-28,3.99,"A",NA,NA
"90","USGS","05579630",2012-12-29,3.73,"A",NA,NA
"91","USGS","05579630",2012-12-30,3.22,"A",NA,NA
"92","USGS","05579630",2012-12-31,3.39,"A",NA,NA
"93","USGS","05579630",2013-01-01,3.09,"A",NA,NA
"94","USGS","05579630",2013-01-02,2.94,"A",NA,NA
"95","USGS","05579630",2013-01-03,2.8,"A",NA,NA
"96","USGS","05579630",2013-01-04,2.71,"A",NA,NA
"97","USGS","05579630",2013-01-05,2.68,"A",NA,NA
"98","USGS","05579630",2013-01-06,2.71,"A",NA,NA
"99","USGS","05579630",2013-01-07,2.45,"A",NA,NA
"100","USGS","05579630",2013-01-08,2.56,"A",NA,NA
"101","USGS","05579630",2013-01-09,2.64,"A",NA,NA
"102","USGS","05579630",2013-01-10,3.09,"A",NA,NA
"103","USGS","05579630",2013-01-11,19.1,"A",NA,NA
"104","USGS","05579630",2013-01-12,13.5,"A",NA,NA
"105","USGS","05579630",2013-01-13,9.8,"A",NA,NA
"106","USGS","05579630",2013-01-14,7.22,"A",NA,NA
"107","USGS","05579630",2013-01-15,6.39,"A",NA,NA
"108","USGS","05579630",2013-01-16,6.11,"A",NA,NA
"109","USGS","05579630",2013-01-17,5.06,"A",NA,NA
"110","USGS","05579630",2013-01-18,4.59,"A",NA,NA
"111","USGS","05579630",2013-01-19,4.94,"A",NA,NA
"112","USGS","05579630",2013-01-20,3.96,"A",NA,NA
"113","USGS","05579630",2013-01-21,3.75,"A",NA,NA
"114","USGS","05579630",2013-01-22,3.99,"A",NA,NA
"115","USGS","05579630",2013-01-23,3.5,"A",NA,NA
"116","USGS","05579630",2013-01-24,3.34,"A",NA,NA
"117","USGS","05579630",2013-01-25,3.4,"A",NA,NA
"118","USGS","05579630",2013-01-26,2.84,"A",NA,NA
"119","USGS","05579630",2013-01-27,2.89,"A",NA,NA
"120","USGS","05579630",2013-01-28,3.77,"A",NA,NA
"121","USGS","05579630",2013-01-29,15,"A",NA,NA
"122","USGS","05579630",2013-01-30,88.2,"A",NA,NA
"123","USGS","05579630",2013-01-31,34.9,"A",NA,NA
"124","USGS","05579630",2013-02-01,22.3,"A",NA,NA
"125","USGS","05579630",2013-02-02,18.1,"A",NA,NA
"126","USGS","05579630",2013-02-03,15.1,"A",NA,NA
"127","USGS","05579630",2013-02-04,13.6,"A",NA,NA
"128","USGS","05579630",2013-02-05,11.6,"A",NA,NA
"129","USGS","05579630",2013-02-06,10.3,"A",NA,NA
"130","USGS","05579630",2013-02-07,11.3,"A",NA,NA
"131","USGS","05579630",2013-02-08,11.6,"A",NA,NA
"132","USGS","05579630",2013-02-09,10.1,"A",NA,NA
"133","USGS","05579630",2013-02-10,19.4,"A",NA,NA
"134","USGS","05579630",2013-02-11,29.6,"A",NA,NA
"135","USGS","05579630",2013-02-12,22.5,"A",NA,NA
"136","USGS","05579630",2013-02-13,19.2,"A",NA,NA
"137","USGS","05579630",2013-02-14,16.8,"A",NA,NA
"138","USGS","05579630",2013-02-15,14.6,"A",NA,NA
"139","USGS","05579630",2013-02-16,13,"A",NA,NA
"140","USGS","05579630",2013-02-17,11.5,"A",NA,NA
"141","USGS","05579630",2013-02-18,12.4,"A",NA,NA
"142","USGS","05579630",2013-02-19,10.4,"A",NA,NA
"143","USGS","05579630",2013-02-20,10.6,"A",NA,NA
"144","USGS","05579630",2013-02-21,8.64,"A",NA,NA
"145","USGS","05579630",2013-02-22,9.38,"A",NA,NA
"146","USGS","05579630",2013-02-23,7.78,"A",NA,NA
"147","USGS","05579630",2013-02-24,7.41,"A",NA,NA
"148","USGS","05579630",2013-02-25,7.77,"A",NA,NA
"149","USGS","05579630",2013-02-26,17.3,"A",NA,NA
"150","USGS","05579630",2013-02-27,18.4,"A",NA,NA
"151","USGS","05579630",2013-02-28,15.3,"A",NA,NA
"152","USGS","05579630",2013-03-01,15.7,"A",NA,NA
