"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","03276000",2016-10-27,233,"A",NA,NA
"2","USGS","03276000",2016-10-28,234,"A",NA,NA
"3","USGS","03276000",2016-10-29,437,"A",NA,NA
"4","USGS","03276000",2016-10-30,592,"A",NA,NA
"5","USGS","03276000",2016-10-31,665,"A",NA,NA
"6","USGS","03276000",2016-11-01,895,"A",NA,NA
"7","USGS","03276000",2016-11-02,986,"A",NA,NA
"8","USGS","03276000",2016-11-03,979,"A",NA,NA
"9","USGS","03276000",2016-11-04,970,"A",NA,NA
"10","USGS","03276000",2016-11-05,962,"A",NA,NA
"11","USGS","03276000",2016-11-06,853,"A",NA,NA
"12","USGS","03276000",2016-11-07,753,"A",NA,NA
"13","USGS","03276000",2016-11-08,638,"A",NA,NA
"14","USGS","03276000",2016-11-09,541,"A",NA,NA
"15","USGS","03276000",2016-11-10,541,"A",NA,NA
"16","USGS","03276000",2016-11-11,463,"A",NA,NA
"17","USGS","03276000",2016-11-12,410,"A",NA,NA
"18","USGS","03276000",2016-11-13,410,"A",NA,NA
"19","USGS","03276000",2016-11-14,410,"A",NA,NA
"20","USGS","03276000",2016-11-15,533,"A",NA,NA
"21","USGS","03276000",2016-11-16,619,"A",NA,NA
"22","USGS","03276000",2016-11-17,742,"A",NA,NA
"23","USGS","03276000",2016-11-18,812,"A",NA,NA
"24","USGS","03276000",2016-11-19,766,"A",NA,NA
"25","USGS","03276000",2016-11-20,707,"A",NA,NA
"26","USGS","03276000",2016-11-21,705,"A",NA,NA
"27","USGS","03276000",2016-11-22,607,"A",NA,NA
"28","USGS","03276000",2016-11-23,503,"A",NA,NA
"29","USGS","03276000",2016-11-24,501,"A",NA,NA
"30","USGS","03276000",2016-11-25,498,"A",NA,NA
"31","USGS","03276000",2016-11-26,497,"A",NA,NA
"32","USGS","03276000",2016-11-27,497,"A",NA,NA
"33","USGS","03276000",2016-11-28,494,"A",NA,NA
"34","USGS","03276000",2016-11-29,554,"A",NA,NA
"35","USGS","03276000",2016-11-30,596,"A",NA,NA
"36","USGS","03276000",2016-12-01,590,"A",NA,NA
"37","USGS","03276000",2016-12-02,282,"A",NA,NA
"38","USGS","03276000",2016-12-03,217,"A",NA,NA
"39","USGS","03276000",2016-12-04,118,"A",NA,NA
"40","USGS","03276000",2016-12-05,65.8,"A",NA,NA
"41","USGS","03276000",2016-12-06,66,"A",NA,NA
"42","USGS","03276000",2016-12-07,94.8,"A",NA,NA
"43","USGS","03276000",2016-12-08,126,"A",NA,NA
"44","USGS","03276000",2016-12-09,165,"A",NA,NA
"45","USGS","03276000",2016-12-10,182,"A",NA,NA
"46","USGS","03276000",2016-12-11,176,"A",NA,NA
"47","USGS","03276000",2016-12-12,178,"A",NA,NA
"48","USGS","03276000",2016-12-13,178,"A",NA,NA
"49","USGS","03276000",2016-12-14,178,"A",NA,NA
"50","USGS","03276000",2016-12-15,145,"A",NA,NA
"51","USGS","03276000",2016-12-16,112,"A",NA,NA
