"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","05480986",2013-02-13,0,"A",NA,NA
"2","USGS","05480986",2013-02-14,0,"A",NA,NA
"3","USGS","05480986",2013-02-15,0.46,"A e",NA,NA
"4","USGS","05480986",2013-02-16,0.15,"A e",NA,NA
"5","USGS","05480986",2013-02-17,0.21,"A e",NA,NA
"6","USGS","05480986",2013-02-18,0.14,"A e",NA,NA
"7","USGS","05480986",2013-02-19,0.08,"A e",NA,NA
"8","USGS","05480986",2013-02-20,0.02,"A e",NA,NA
"9","USGS","05480986",2013-02-21,0,"A",NA,NA
"10","USGS","05480986",2013-02-22,0,"A",NA,NA
"11","USGS","05480986",2013-02-23,0,"A",NA,NA
"12","USGS","05480986",2013-02-24,0,"A",NA,NA
"13","USGS","05480986",2013-02-25,0.03,"A e",NA,NA
"14","USGS","05480986",2013-02-26,0.01,"A e",NA,NA
"15","USGS","05480986",2013-02-27,0,"A",NA,NA
"16","USGS","05480986",2013-02-28,0,"A",NA,NA
"17","USGS","05480986",2013-03-01,0,"A",NA,NA
"18","USGS","05480986",2013-03-02,0,"A",NA,NA
"19","USGS","05480986",2013-03-03,0,"A",NA,NA
"20","USGS","05480986",2013-03-04,0,"A",NA,NA
"21","USGS","05480986",2013-03-05,0,"A",NA,NA
"22","USGS","05480986",2013-03-06,0,"A",NA,NA
"23","USGS","05480986",2013-03-07,0,"A",NA,NA
"24","USGS","05480986",2013-03-08,0.18,"A e",NA,NA
"25","USGS","05480986",2013-03-09,22.5,"A e",NA,NA
"26","USGS","05480986",2013-03-10,13,"A e",NA,NA
"27","USGS","05480986",2013-03-11,5.89,"A e",NA,NA
"28","USGS","05480986",2013-03-12,3.71,"A e",NA,NA
"29","USGS","05480986",2013-03-13,2.39,"A e",NA,NA
"30","USGS","05480986",2013-03-14,2.39,"A e",NA,NA
"31","USGS","05480986",2013-03-15,9.68,"A e",NA,NA
"32","USGS","05480986",2013-03-16,39.3,"A",NA,NA
"33","USGS","05480986",2013-03-17,20.7,"A",NA,NA
"34","USGS","05480986",2013-03-18,8.78,"A",NA,NA
"35","USGS","05480986",2013-03-19,5.94,"A",NA,NA
"36","USGS","05480986",2013-03-20,2.2,"A",NA,NA
"37","USGS","05480986",2013-03-21,1.35,"A",NA,NA
"38","USGS","05480986",2013-03-22,1.78,"A",NA,NA
"39","USGS","05480986",2013-03-23,2.83,"A",NA,NA
"40","USGS","05480986",2013-03-24,2.87,"A",NA,NA
"41","USGS","05480986",2013-03-25,1.62,"A",NA,NA
"42","USGS","05480986",2013-03-26,5.92,"A",NA,NA
"43","USGS","05480986",2013-03-27,10.7,"A",NA,NA
"44","USGS","05480986",2013-03-28,13,"A",NA,NA
"45","USGS","05480986",2013-03-29,12.7,"A",NA,NA
"46","USGS","05480986",2013-03-30,10.5,"A",NA,NA
"47","USGS","05480986",2013-03-31,6.36,"A",NA,NA
"48","USGS","05480986",2013-04-01,3.74,"A",NA,NA
"49","USGS","05480986",2013-04-02,2.41,"A",NA,NA
"50","USGS","05480986",2013-04-03,1.86,"A",NA,NA
"51","USGS","05480986",2013-04-04,1.54,"A",NA,NA
"52","USGS","05480986",2013-04-05,1.49,"A",NA,NA
"53","USGS","05480986",2013-04-06,1.36,"A",NA,NA
"54","USGS","05480986",2013-04-07,1.21,"A",NA,NA
"55","USGS","05480986",2013-04-08,1.09,"A",NA,NA
"56","USGS","05480986",2013-04-09,5.84,"A",NA,NA
"57","USGS","05480986",2013-04-10,15.2,"A",NA,NA
"58","USGS","05480986",2013-04-11,12.2,"A",NA,NA
"59","USGS","05480986",2013-04-12,8.86,"A",NA,NA
"60","USGS","05480986",2013-04-13,4.95,"A",NA,NA
"61","USGS","05480986",2013-04-14,9.84,"A",NA,NA
"62","USGS","05480986",2013-04-15,11.4,"A",NA,NA
"63","USGS","05480986",2013-04-16,6.17,"A",NA,NA
"64","USGS","05480986",2013-04-17,7.77,"A",NA,NA
"65","USGS","05480986",2013-04-18,36.3,"A",NA,NA
"66","USGS","05480986",2013-04-19,20.6,"A",NA,NA
"67","USGS","05480986",2013-04-20,11.6,"A",NA,NA
"68","USGS","05480986",2013-04-21,8.89,"A",NA,NA
"69","USGS","05480986",2013-04-22,8.64,"A",NA,NA
"70","USGS","05480986",2013-04-23,10.7,"A",NA,NA
"71","USGS","05480986",2013-04-24,8.57,"A",NA,NA
"72","USGS","05480986",2013-04-25,6.64,"A",NA,NA
"73","USGS","05480986",2013-04-26,5.77,"A",NA,NA
"74","USGS","05480986",2013-04-27,5.03,"A",38.3,"A"
"75","USGS","05480986",2013-04-28,4.71,"A",38.4,"A"
"76","USGS","05480986",2013-04-29,7.73,"A",36.6,"A"
"77","USGS","05480986",2013-04-30,9.25,"A",35.2,"A"
"78","USGS","05480986",2013-05-01,6.82,"A",37.5,"A"
"79","USGS","05480986",2013-05-02,15.1,"A",32.5,"A"
"80","USGS","05480986",2013-05-03,27.1,"A",35.2,"A"
"81","USGS","05480986",2013-05-04,49.6,"A",35,"A"
"82","USGS","05480986",2013-05-05,60.8,"A",29.9,"A"
"83","USGS","05480986",2013-05-06,34.7,"A",32.4,"A"
"84","USGS","05480986",2013-05-07,21.4,"A",34.7,"A"
"85","USGS","05480986",2013-05-08,15.4,"A",36.7,"A"
"86","USGS","05480986",2013-05-09,17.1,"A",35.6,"A"
"87","USGS","05480986",2013-05-10,15.8,"A",38,"A"
"88","USGS","05480986",2013-05-11,12.6,"A",39.4,"A"
"89","USGS","05480986",2013-05-12,10.5,"A",40.3,"A"
"90","USGS","05480986",2013-05-13,9.24,"A",40.7,"A"
"91","USGS","05480986",2013-05-14,8.23,"A",41,"A"
"92","USGS","05480986",2013-05-15,7.01,"A",41.3,"A"
"93","USGS","05480986",2013-05-16,6.93,"A",41,"A"
"94","USGS","05480986",2013-05-17,8.35,"A",39.8,"A"
"95","USGS","05480986",2013-05-18,7.85,"A",41.2,"A"
