"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","03353420",2015-06-13,4.6,"A",NA,NA
"2","USGS","03353420",2015-06-14,4.09,"A",NA,NA
"3","USGS","03353420",2015-06-15,4.98,"A",NA,NA
"4","USGS","03353420",2015-06-16,13.8,"A",NA,NA
"5","USGS","03353420",2015-06-17,15.9,"A",NA,NA
"6","USGS","03353420",2015-06-18,15.6,"A",NA,NA
"7","USGS","03353420",2015-06-19,95.1,"A",NA,NA
"8","USGS","03353420",2015-06-20,51.7,"A",NA,NA
"9","USGS","03353420",2015-06-21,39.4,"A",NA,NA
"10","USGS","03353420",2015-06-22,24.4,"A",NA,NA
"11","USGS","03353420",2015-06-23,14.2,"A",11.1,"A"
"12","USGS","03353420",2015-06-24,9.62,"A",NA,NA
"13","USGS","03353420",2015-06-25,15.3,"A",NA,NA
"14","USGS","03353420",2015-06-26,27,"A",8.17,"A"
"15","USGS","03353420",2015-06-27,52.9,"A",7.48,"A"
"16","USGS","03353420",2015-06-28,23.2,"A",7.9,"A"
"17","USGS","03353420",2015-06-29,13.6,"A",7.61,"A"
"18","USGS","03353420",2015-06-30,9.72,"A",7.23,"A"
"19","USGS","03353420",2015-07-01,7.53,"A",6.86,"A"
"20","USGS","03353420",2015-07-02,6.24,"A",6.74,"A"
"21","USGS","03353420",2015-07-03,6,"A",6.79,"A"
"22","USGS","03353420",2015-07-04,4.95,"A",6.61,"A"
"23","USGS","03353420",2015-07-05,4.01,"A",6.35,"A"
"24","USGS","03353420",2015-07-06,3.63,"A",6.19,"A"
"25","USGS","03353420",2015-07-07,51.7,"A",5.16,"A"
"26","USGS","03353420",2015-07-08,44.7,"A",6.42,"A"
"27","USGS","03353420",2015-07-09,42.6,"A",5.61,"A"
"28","USGS","03353420",2015-07-10,24.9,"A",6.31,"A"
"29","USGS","03353420",2015-07-11,15,"A",6.19,"A"
"30","USGS","03353420",2015-07-12,126,"A",2.17,"A"
"31","USGS","03353420",2015-07-13,59.5,"A",2.83,"A"
"32","USGS","03353420",2015-07-14,186,"A",1.23,"A"
"33","USGS","03353420",2015-07-15,30.8,"A",2.72,"A"
"34","USGS","03353420",2015-07-16,12.8,"A e",3.36,"A"
"35","USGS","03353420",2015-07-17,45.9,"A e",2.86,"A"
"36","USGS","03353420",2015-07-18,43.7,"A e",2.29,"A"
"37","USGS","03353420",2015-07-19,13,"A e",3.56,"A"
"38","USGS","03353420",2015-07-20,9.42,"A e",3.74,"A"
"39","USGS","03353420",2015-07-21,9.18,"A e",4.08,"A"
"40","USGS","03353420",2015-07-22,4.27,"A e",4,"A"
"41","USGS","03353420",2015-07-23,2.83,"A e",4.05,"A"
"42","USGS","03353420",2015-07-24,2,"A e",4.16,"A"
"43","USGS","03353420",2015-07-25,1.43,"A e",4.22,"A"
"44","USGS","03353420",2015-07-26,2.42,"A e",3.95,"A"
"45","USGS","03353420",2015-07-27,5.68,"A e",4.41,"A"
"46","USGS","03353420",2015-07-28,2.66,"A e",4.21,"A"
"47","USGS","03353420",2015-07-29,1.55,"A e",4.07,"A"
"48","USGS","03353420",2015-07-30,1.05,"A e",3.94,"A"
"49","USGS","03353420",2015-07-31,0.89,"A e",3.89,"A"
"50","USGS","03353420",2015-08-01,0.72,"A e",3.84,"A"
"51","USGS","03353420",2015-08-02,0.6,"A e",3.68,"A"
"52","USGS","03353420",2015-08-03,0.64,"A e",3.48,"A"
"53","USGS","03353420",2015-08-04,0.64,"A e",2.83,"A"
"54","USGS","03353420",2015-08-05,0.45,"A e",2.82,"A"
"55","USGS","03353420",2015-08-06,0.53,"A e",2.91,"A"
"56","USGS","03353420",2015-08-07,0.5,"A e",2.89,"A"
"57","USGS","03353420",2015-08-08,0.39,"A e",2.55,"A"
"58","USGS","03353420",2015-08-09,0.32,"A e",2.46,"A"
"59","USGS","03353420",2015-08-10,0.29,"A e",2.52,"A"
"60","USGS","03353420",2015-08-11,0.25,"A e",2.43,"A"
"61","USGS","03353420",2015-08-12,0.19,"A e",2.35,"A"
"62","USGS","03353420",2015-08-13,0.16,"A e",2.28,"A"
"63","USGS","03353420",2015-08-14,0.14,"A e",2.27,"A"
"64","USGS","03353420",2015-08-15,0.12,"A e",2.14,"A"
"65","USGS","03353420",2015-08-16,0.14,"A e",2.08,"A"
"66","USGS","03353420",2015-08-17,0.18,"A e",1.99,"A"
"67","USGS","03353420",2015-08-18,0.16,"A e",1.96,"A"
"68","USGS","03353420",2015-08-19,0.18,"A",1.76,"A"
"69","USGS","03353420",2015-08-20,0.21,"A",1.72,"A"
"70","USGS","03353420",2015-08-21,0.14,"A",1.54,"A"
"71","USGS","03353420",2015-08-22,0.08,"A e",1.5,"A"
"72","USGS","03353420",2015-08-23,0.05,"A e",1.43,"A"
"73","USGS","03353420",2015-08-24,0.05,"A e",1.31,"A"
"74","USGS","03353420",2015-08-25,0.03,"A e",1.28,"A"
"75","USGS","03353420",2015-08-26,0.03,"A e",1.22,"A"
"76","USGS","03353420",2015-08-27,0.03,"A e",1.1,"A"
"77","USGS","03353420",2015-08-28,0.03,"A e",1.04,"A"
"78","USGS","03353420",2015-08-29,0.03,"A e",0.95,"A"
"79","USGS","03353420",2015-08-30,0.03,"A e",0.84,"A"
"80","USGS","03353420",2015-08-31,0.03,"A e",0.73,"A"
"81","USGS","03353420",2015-09-01,0.05,"A e",0.63,"A"
"82","USGS","03353420",2015-09-02,0.06,"A e",0.53,"A"
"83","USGS","03353420",2015-09-03,0.03,"A e",0.49,"A"
"84","USGS","03353420",2015-09-04,0.04,"A e",0.41,"A"
"85","USGS","03353420",2015-09-05,0.07,"A e",0.39,"A"
"86","USGS","03353420",2015-09-06,0.08,"A e",0.36,"A"
"87","USGS","03353420",2015-09-07,0.06,"A e",0.34,"A"
"88","USGS","03353420",2015-09-08,0.05,"A e",0.33,"A"
"89","USGS","03353420",2015-09-09,0.11,"A e",0.33,"A"
"90","USGS","03353420",2015-09-10,0.13,"A e",0.34,"A"
"91","USGS","03353420",2015-09-11,0.23,"A e",0.42,"A"
"92","USGS","03353420",2015-09-12,0.16,"A e",0.52,"A"
"93","USGS","03353420",2015-09-13,0.11,"A e",0.6,"A"
"94","USGS","03353420",2015-09-14,0.12,"A e",0.56,"A"
"95","USGS","03353420",2015-09-15,0.1,"A e",0.47,"A e"
"96","USGS","03353420",2015-09-16,0.07,"A e",0.41,"A"
"97","USGS","03353420",2015-09-17,0.07,"A e",0.37,"A"
"98","USGS","03353420",2015-09-18,0.18,"A e",NA,NA
"99","USGS","03353420",2015-09-19,0.44,"A e",NA,NA
"100","USGS","03353420",2015-09-20,0.2,"A e",0.58,"A"
"101","USGS","03353420",2015-09-21,0.11,"A e",0.66,"A"
"102","USGS","03353420",2015-09-22,0.07,"A e",0.47,"A e"
"103","USGS","03353420",2015-09-23,0.07,"A e",0.46,"A e"
"104","USGS","03353420",2015-09-24,0.06,"A e",0.48,"A"
"105","USGS","03353420",2015-09-25,0.06,"A e",0.49,"A"
"106","USGS","03353420",2015-09-26,0.07,"A e",0.35,"A"
"107","USGS","03353420",2015-09-27,0.08,"A e",0.3,"A"
"108","USGS","03353420",2015-09-28,0.08,"A e",0.22,"A"
"109","USGS","03353420",2015-09-29,0.14,"A e",0.24,"A"
"110","USGS","03353420",2015-09-30,0.09,"A e",0.28,"A"
"111","USGS","03353420",2015-10-01,0.11,"A e",0.31,"A"
"112","USGS","03353420",2015-10-02,0.07,"A e",0.3,"A"
"113","USGS","03353420",2015-10-03,0.12,"A e",0.31,"A"
"114","USGS","03353420",2015-10-04,0.07,"A e",0.31,"A"
"115","USGS","03353420",2015-10-05,0.08,"A e",0.33,"A"
"116","USGS","03353420",2015-10-06,0.07,"A e",0.29,"A"
"117","USGS","03353420",2015-10-07,0.09,"A e",0.28,"A"
"118","USGS","03353420",2015-10-08,0.09,"A e",0.24,"A"
"119","USGS","03353420",2015-10-09,0.08,"A",0.24,"A"
"120","USGS","03353420",2015-10-10,0.07,"A",0.23,"A"
"121","USGS","03353420",2015-10-11,0.06,"A",0.22,"A"
"122","USGS","03353420",2015-10-12,0.05,"A",0.23,"A"
"123","USGS","03353420",2015-10-13,0.04,"A",0.23,"A"
"124","USGS","03353420",2015-10-14,0.04,"A",NA,NA
"125","USGS","03353420",2015-10-15,0.03,"A",0.19,"A"
