"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","03340900",2016-10-01,26.9,"P",NA,NA
"2","USGS","03340900",2016-10-02,40.7,"P",NA,NA
"3","USGS","03340900",2016-10-03,98.2,"P",NA,NA
"4","USGS","03340900",2016-10-04,116,"A",NA,NA
"5","USGS","03340900",2016-10-05,116,"A",NA,NA
"6","USGS","03340900",2016-10-06,85.2,"A",NA,NA
"7","USGS","03340900",2016-10-07,72.5,"A",NA,NA
"8","USGS","03340900",2016-10-08,44,"A",NA,NA
"9","USGS","03340900",2016-10-09,33.9,"A",NA,NA
"10","USGS","03340900",2016-10-10,29.6,"A",NA,NA
"11","USGS","03340900",2016-10-11,27.4,"A",NA,NA
"12","USGS","03340900",2016-10-12,27.9,"A",NA,NA
"13","USGS","03340900",2016-10-13,28.3,"A",NA,NA
"14","USGS","03340900",2016-10-14,28,"A",NA,NA
"15","USGS","03340900",2016-10-15,28.2,"A",NA,NA
"16","USGS","03340900",2016-10-16,29.3,"A",NA,NA
"17","USGS","03340900",2016-10-17,29,"A",NA,NA
"18","USGS","03340900",2016-10-18,29.3,"A",NA,NA
"19","USGS","03340900",2016-10-19,30.3,"A",NA,NA
"20","USGS","03340900",2016-10-20,127,"A",NA,NA
"21","USGS","03340900",2016-10-21,382,"A",NA,NA
"22","USGS","03340900",2016-10-22,532,"A",NA,NA
"23","USGS","03340900",2016-10-23,535,"A",NA,NA
"24","USGS","03340900",2016-10-24,529,"A",NA,NA
"25","USGS","03340900",2016-10-25,527,"A",NA,NA
"26","USGS","03340900",2016-10-26,524,"A",NA,NA
"27","USGS","03340900",2016-10-27,523,"A",NA,NA
"28","USGS","03340900",2016-10-28,519,"A",NA,NA
"29","USGS","03340900",2016-10-29,515,"A",NA,NA
"30","USGS","03340900",2016-10-30,514,"A",NA,NA
"31","USGS","03340900",2016-10-31,762,"A",NA,NA
"32","USGS","03340900",2016-11-01,844,"A",NA,NA
"33","USGS","03340900",2016-11-02,834,"A",NA,NA
"34","USGS","03340900",2016-11-03,827,"A",NA,NA
"35","USGS","03340900",2016-11-04,817,"A",NA,NA
"36","USGS","03340900",2016-11-05,809,"A",NA,NA
"37","USGS","03340900",2016-11-06,800,"A",NA,NA
"38","USGS","03340900",2016-11-07,793,"A",NA,NA
"39","USGS","03340900",2016-11-08,783,"A",NA,NA
"40","USGS","03340900",2016-11-09,776,"A",NA,NA
"41","USGS","03340900",2016-11-10,768,"A",NA,NA
"42","USGS","03340900",2016-11-11,760,"A",NA,NA
"43","USGS","03340900",2016-11-12,749,"A",NA,NA
"44","USGS","03340900",2016-11-13,742,"A",NA,NA
"45","USGS","03340900",2016-11-14,733,"A",NA,NA
"46","USGS","03340900",2016-11-15,494,"A",NA,NA
"47","USGS","03340900",2016-11-16,396,"A",NA,NA
"48","USGS","03340900",2016-11-17,392,"A",NA,NA
"49","USGS","03340900",2016-11-18,390,"A",NA,NA
"50","USGS","03340900",2016-11-19,389,"A",NA,NA
"51","USGS","03340900",2016-11-20,386,"A",NA,NA
"52","USGS","03340900",2016-11-21,383,"A",NA,NA
"53","USGS","03340900",2016-11-22,379,"A",NA,NA
"54","USGS","03340900",2016-11-23,377,"A",NA,NA
"55","USGS","03340900",2016-11-24,376,"A",NA,NA
"56","USGS","03340900",2016-11-25,371,"A",NA,NA
"57","USGS","03340900",2016-11-26,368,"A",NA,NA
"58","USGS","03340900",2016-11-27,364,"A",NA,NA
"59","USGS","03340900",2016-11-28,373,"A",NA,NA
"60","USGS","03340900",2016-11-29,352,"A",NA,NA
"61","USGS","03340900",2016-11-30,493,"A",NA,NA
"62","USGS","03340900",2016-12-01,593,"A",NA,NA
"63","USGS","03340900",2016-12-02,622,"A",NA,NA
"64","USGS","03340900",2016-12-03,613,"A",NA,NA
"65","USGS","03340900",2016-12-04,604,"A",NA,NA
"66","USGS","03340900",2016-12-05,356,"A",NA,NA
"67","USGS","03340900",2016-12-06,201,"A",NA,NA
"68","USGS","03340900",2016-12-07,200,"A",NA,NA
"69","USGS","03340900",2016-12-08,158,"A",NA,NA
"70","USGS","03340900",2016-12-09,97.5,"A",NA,NA
"71","USGS","03340900",2016-12-10,96.2,"A",NA,NA
"72","USGS","03340900",2016-12-11,96.4,"A",NA,NA
"73","USGS","03340900",2016-12-12,97.5,"A",NA,NA
"74","USGS","03340900",2016-12-13,97.4,"A",NA,NA
"75","USGS","03340900",2016-12-14,96.1,"A",NA,NA
"76","USGS","03340900",2016-12-15,77.6,"A",NA,NA
"77","USGS","03340900",2016-12-16,49.8,"A",NA,NA
"78","USGS","03340900",2016-12-17,80.6,"A",NA,NA
"79","USGS","03340900",2016-12-18,97,"A",NA,NA
"80","USGS","03340900",2016-12-19,96.1,"A",NA,NA
"81","USGS","03340900",2016-12-20,72,"A",NA,NA
"82","USGS","03340900",2016-12-21,87.7,"A",NA,NA
"83","USGS","03340900",2016-12-22,84.8,"A",NA,NA
"84","USGS","03340900",2016-12-23,77.5,"A",NA,NA
"85","USGS","03340900",2016-12-24,78.7,"A",NA,NA
"86","USGS","03340900",2016-12-25,90.8,"A",NA,NA
"87","USGS","03340900",2016-12-26,99.6,"A",NA,NA
"88","USGS","03340900",2016-12-27,101,"A",NA,NA
"89","USGS","03340900",2016-12-28,173,"A",NA,NA
"90","USGS","03340900",2016-12-29,389,"A",NA,NA
"91","USGS","03340900",2016-12-30,494,"A",NA,NA
"92","USGS","03340900",2016-12-31,482,"A",NA,NA
"93","USGS","03340900",2017-01-01,300,"A",NA,NA
"94","USGS","03340900",2017-01-02,114,"A",NA,NA
"95","USGS","03340900",2017-01-03,115,"A",NA,NA
"96","USGS","03340900",2017-01-04,195,"A",NA,NA
"97","USGS","03340900",2017-01-05,305,"A",NA,NA
"98","USGS","03340900",2017-01-06,346,"A",NA,NA
"99","USGS","03340900",2017-01-07,222,"A",NA,NA
"100","USGS","03340900",2017-01-08,103,"A",NA,NA
"101","USGS","03340900",2017-01-09,103,"A",NA,NA
"102","USGS","03340900",2017-01-10,104,"A",NA,NA
"103","USGS","03340900",2017-01-11,277,"A",NA,NA
"104","USGS","03340900",2017-01-12,362,"A",NA,NA
"105","USGS","03340900",2017-01-13,517,"A",NA,NA
"106","USGS","03340900",2017-01-14,622,"A",NA,NA
"107","USGS","03340900",2017-01-15,409,"A",NA,NA
"108","USGS","03340900",2017-01-16,106,"A",NA,NA
"109","USGS","03340900",2017-01-17,140,"A",NA,NA
"110","USGS","03340900",2017-01-18,120,"A",NA,NA
"111","USGS","03340900",2017-01-19,123,"A",NA,NA
"112","USGS","03340900",2017-01-20,164,"A",NA,NA
"113","USGS","03340900",2017-01-21,132,"A",NA,NA
"114","USGS","03340900",2017-01-22,130,"A",NA,NA
"115","USGS","03340900",2017-01-23,129,"A",NA,NA
"116","USGS","03340900",2017-01-24,128,"A",NA,NA
