"","agency_cd","site_no","Date","X_99133_00003","X_99133_00003_cd"
"1","USGS","03318010",2016-04-30,0.7,"A"
"2","USGS","03318010",2016-05-01,0.69,"A"
"3","USGS","03318010",2016-05-02,0.69,"A"
"4","USGS","03318010",2016-05-03,0.68,"A"
"5","USGS","03318010",2016-05-05,0.63,"A"
"6","USGS","03318010",2016-05-06,0.61,"A"
"7","USGS","03318010",2016-05-07,0.6,"A"
"8","USGS","03318010",2016-05-08,0.57,"A"
"9","USGS","03318010",2016-05-09,0.55,"A"
"10","USGS","03318010",2016-05-13,0.55,"A"
"11","USGS","03318010",2016-05-14,0.58,"A"
"12","USGS","03318010",2016-05-15,0.6,"A"
"13","USGS","03318010",2016-05-16,0.57,"A"
"14","USGS","03318010",2016-05-17,0.57,"A"
"15","USGS","03318010",2016-05-18,0.56,"A"
"16","USGS","03318010",2016-05-19,0.52,"A"
"17","USGS","03318010",2016-05-22,0.5,"A"
"18","USGS","03318010",2016-05-23,0.49,"A"
"19","USGS","03318010",2016-05-25,0.46,"A"
"20","USGS","03318010",2016-05-26,0.48,"A"
"21","USGS","03318010",2016-05-28,0.47,"A"
"22","USGS","03318010",2016-05-29,0.47,"A"
"23","USGS","03318010",2016-05-30,0.48,"A"
"24","USGS","03318010",2016-05-31,0.51,"A"
"25","USGS","03318010",2016-06-01,0.56,"A"
"26","USGS","03318010",2016-06-02,0.58,"A"
"27","USGS","03318010",2016-06-03,0.6,"A"
"28","USGS","03318010",2016-06-04,0.65,"A"
"29","USGS","03318010",2016-06-05,0.69,"A"
"30","USGS","03318010",2016-06-06,0.63,"A"
"31","USGS","03318010",2016-06-07,0.61,"A"
"32","USGS","03318010",2016-06-08,0.59,"A"
"33","USGS","03318010",2016-06-09,0.57,"A"
"34","USGS","03318010",2016-06-10,0.55,"A"
"35","USGS","03318010",2016-06-11,0.5,"A"
"36","USGS","03318010",2016-06-12,0.46,"A"
"37","USGS","03318010",2016-06-13,0.42,"A"
"38","USGS","03318010",2016-06-14,0.39,"A"
"39","USGS","03318010",2016-06-15,0.36,"A"
"40","USGS","03318010",2016-06-17,0.43,"A"
"41","USGS","03318010",2016-06-18,0.47,"A"
"42","USGS","03318010",2016-06-19,0.27,"A"
"43","USGS","03318010",2016-06-20,0.25,"A"
"44","USGS","03318010",2016-06-21,0.24,"A"
"45","USGS","03318010",2016-06-22,0.26,"A"
"46","USGS","03318010",2016-06-23,0.26,"A"
"47","USGS","03318010",2016-06-24,0.26,"A"
"48","USGS","03318010",2016-06-26,0.16,"A"
"49","USGS","03318010",2016-06-27,0.2,"A"
"50","USGS","03318010",2016-06-28,0.23,"A"
"51","USGS","03318010",2016-06-29,0.22,"A"
"52","USGS","03318010",2016-06-30,0.31,"A"
"53","USGS","03318010",2016-07-01,0.42,"A"
"54","USGS","03318010",2016-07-02,0.63,"A"
"55","USGS","03318010",2016-07-03,0.52,"A"
"56","USGS","03318010",2016-07-05,0.37,"A"
"57","USGS","03318010",2016-07-09,0.42,"A"
"58","USGS","03318010",2016-07-10,0.35,"A"
"59","USGS","03318010",2016-07-11,0.32,"A"
"60","USGS","03318010",2016-07-12,0.45,"A"
"61","USGS","03318010",2016-10-13,0.18,"A"
"62","USGS","03318010",2016-10-15,0.22,"A"
