"","agency_cd","site_no","Date","X_99133_00003","X_99133_00003_cd"
"1","USGS","03381495",2015-09-12,0.59,"A"
"2","USGS","03381495",2015-09-13,0.76,"A"
"3","USGS","03381495",2015-09-14,0.8,"A"
"4","USGS","03381495",2015-09-15,0.76,"A"
"5","USGS","03381495",2015-09-16,0.75,"A"
"6","USGS","03381495",2015-09-17,0.7,"A"
"7","USGS","03381495",2015-09-18,0.77,"A"
"8","USGS","03381495",2015-10-01,0.92,"A"
"9","USGS","03381495",2015-10-02,0.75,"A"
"10","USGS","03381495",2015-10-03,1.07,"A"
"11","USGS","03381495",2015-10-04,1.3,"A"
"12","USGS","03381495",2015-10-05,1.35,"A"
"13","USGS","03381495",2015-11-07,0.67,"A"
"14","USGS","03381495",2015-11-18,2.97,"A"
"15","USGS","03381495",2015-11-19,2.45,"A"
"16","USGS","03381495",2015-11-20,1.98,"A"
"17","USGS","03381495",2015-11-21,1.68,"A"
"18","USGS","03381495",2015-11-22,1.64,"A"
"19","USGS","03381495",2015-11-23,1.66,"A"
"20","USGS","03381495",2015-11-24,1.65,"A"
"21","USGS","03381495",2015-11-25,1.55,"A"
"22","USGS","03381495",2015-11-26,1.42,"A"
"23","USGS","03381495",2015-11-27,1.36,"A"
"24","USGS","03381495",2015-11-28,2.11,"A"
"25","USGS","03381495",2015-11-29,2.14,"A"
"26","USGS","03381495",2015-11-30,1.7,"A"
"27","USGS","03381495",2015-12-01,1.52,"A"
"28","USGS","03381495",2015-12-02,1.38,"A"
"29","USGS","03381495",2015-12-03,1.47,"A"
"30","USGS","03381495",2015-12-04,1.45,"A"
"31","USGS","03381495",2015-12-05,1.34,"A"
"32","USGS","03381495",2015-12-06,1.32,"A"
"33","USGS","03381495",2015-12-07,1.31,"A"
"34","USGS","03381495",2015-12-08,1.3,"A"
"35","USGS","03381495",2015-12-09,1.35,"A"
"36","USGS","03381495",2015-12-10,1.42,"A"
"37","USGS","03381495",2015-12-11,1.51,"A"
"38","USGS","03381495",2015-12-12,1.6,"A"
"39","USGS","03381495",2015-12-13,1.62,"A"
"40","USGS","03381495",2015-12-14,1.55,"A"
"41","USGS","03381495",2015-12-15,1.54,"A"
"42","USGS","03381495",2015-12-16,1.67,"A"
"43","USGS","03381495",2015-12-17,1.54,"A"
"44","USGS","03381495",2015-12-18,1.5,"A"
"45","USGS","03381495",2015-12-19,1.44,"A"
"46","USGS","03381495",2015-12-20,1.51,"A"
"47","USGS","03381495",2015-12-21,1.63,"A"
"48","USGS","03381495",2015-12-22,1.76,"A"
"49","USGS","03381495",2015-12-23,1.7,"A"
"50","USGS","03381495",2015-12-24,2.26,"A"
"51","USGS","03381495",2015-12-25,1.79,"A"
"52","USGS","03381495",2015-12-26,1.69,"A"
"53","USGS","03381495",2015-12-27,1.8,"A"
"54","USGS","03381495",2015-12-28,1.74,"A"
"55","USGS","03381495",2015-12-29,1.52,"A"
"56","USGS","03381495",2015-12-30,1.33,"A"
"57","USGS","03381495",2015-12-31,1.22,"A"
"58","USGS","03381495",2016-01-01,1.14,"A"
"59","USGS","03381495",2016-01-02,1.07,"A"
"60","USGS","03381495",2016-01-03,1.07,"A"
"61","USGS","03381495",2016-01-04,1.07,"A"
"62","USGS","03381495",2016-01-05,1.07,"A"
"63","USGS","03381495",2016-01-06,1.03,"A"
"64","USGS","03381495",2016-01-07,0.96,"A"
"65","USGS","03381495",2016-01-08,0.98,"A"
"66","USGS","03381495",2016-01-09,1.04,"A"
"67","USGS","03381495",2016-01-10,1.01,"A"
"68","USGS","03381495",2016-01-11,1.01,"A"
"69","USGS","03381495",2016-01-12,1.06,"A"
"70","USGS","03381495",2016-01-13,1.06,"A"
"71","USGS","03381495",2016-01-14,1.06,"A"
"72","USGS","03381495",2016-01-15,1.14,"A"
"73","USGS","03381495",2016-01-16,1.16,"A"
"74","USGS","03381495",2016-01-17,1.26,"A"
"75","USGS","03381495",2016-01-18,1.3,"A"
"76","USGS","03381495",2016-01-19,1.39,"A"
"77","USGS","03381495",2016-01-20,1.5,"A"
"78","USGS","03381495",2016-01-21,1.56,"A"
"79","USGS","03381495",2016-01-22,1.64,"A"
"80","USGS","03381495",2016-01-23,1.76,"A"
