"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","05579610",2012-10-01,0.09,"A",0,"A"
"2","USGS","05579610",2012-10-02,0.09,"A",0,"A"
"3","USGS","05579610",2012-10-03,0.09,"A",0,"A"
"4","USGS","05579610",2012-10-04,0.09,"A",0,"A"
"5","USGS","05579610",2012-10-05,0.11,"A",0.02,"A"
"6","USGS","05579610",2012-10-06,0.09,"A",0,"A"
"7","USGS","05579610",2012-10-07,0.09,"A",0,"A"
"8","USGS","05579610",2012-10-08,0.09,"A",0,"A"
"9","USGS","05579610",2012-10-09,0.09,"A",0.01,"A"
"10","USGS","05579610",2012-10-10,0.09,"A",0.01,"A"
"11","USGS","05579610",2012-10-11,0.09,"A",0.02,"A"
"12","USGS","05579610",2012-10-12,0.08,"A",0.02,"A"
"13","USGS","05579610",2012-10-13,0.12,"A",0.07,"A"
"14","USGS","05579610",2012-10-14,0.25,"A",1,"A"
"15","USGS","05579610",2012-10-15,0.18,"A",0.19,"A"
"16","USGS","05579610",2012-10-16,0.17,"A",0.14,"A"
"17","USGS","05579610",2012-10-17,0.24,"A",0.48,"A"
"18","USGS","05579610",2012-10-18,0.89,"A",1.31,"A"
"19","USGS","05579610",2012-10-19,1.02,"A",1.42,"A"
"20","USGS","05579610",2012-10-20,1.57,"A",5.14,"A"
"21","USGS","05579610",2012-10-21,1.47,"A",6.08,"A"
"22","USGS","05579610",2012-10-22,1.68,"A",6.59,"A"
"23","USGS","05579610",2012-10-23,2.24,"A",7.59,"A"
"24","USGS","05579610",2012-10-24,1.59,"A",8.94,"A"
"25","USGS","05579610",2012-10-25,1.32,"A",7.72,"A"
"26","USGS","05579610",2012-10-26,1.43,"A",7.46,"A"
"27","USGS","05579610",2012-10-27,1.34,"A",8.06,"A"
"28","USGS","05579610",2012-10-28,1.15,"A",8.44,"A"
"29","USGS","05579610",2012-10-29,0.99,"A",8.34,"A"
"30","USGS","05579610",2012-10-30,0.98,"A",8.26,"A"
"31","USGS","05579610",2012-10-31,0.91,"A",8.08,"A"
"32","USGS","05579610",2012-11-01,0.82,"A",7.76,"A"
"33","USGS","05579610",2012-11-02,0.75,"A",7.22,"A"
"34","USGS","05579610",2012-11-03,0.69,"A",6.39,"A"
"35","USGS","05579610",2012-11-04,0.65,"A",6.14,"A"
"36","USGS","05579610",2012-11-05,0.66,"A",5.67,"A"
"37","USGS","05579610",2012-11-06,0.67,"A",5.21,"A"
"38","USGS","05579610",2012-11-07,0.66,"A",5.33,"A"
"39","USGS","05579610",2012-11-08,0.62,"A",4.92,"A"
"40","USGS","05579610",2012-11-09,0.64,"A",4.97,"A"
"41","USGS","05579610",2012-11-10,0.69,"A",5.07,"A"
"42","USGS","05579610",2012-11-11,0.73,"A",4.52,"A"
"43","USGS","05579610",2012-11-12,0.82,"A",4.24,"A"
"44","USGS","05579610",2012-11-13,0.74,"A",4.22,"A"
"45","USGS","05579610",2012-11-14,0.73,"A",4.2,"A"
"46","USGS","05579610",2012-11-15,0.71,"A",4.08,"A"
"47","USGS","05579610",2012-11-16,0.69,"A",3.62,"A"
"48","USGS","05579610",2012-11-17,0.65,"A",3.69,"A"
"49","USGS","05579610",2012-11-18,0.66,"A",4.13,"A"
"50","USGS","05579610",2012-11-19,0.7,"A",4.37,"A"
"51","USGS","05579610",2012-11-20,0.75,"A",4.44,"A"
"52","USGS","05579610",2012-11-21,0.7,"A",4.13,"A"
"53","USGS","05579610",2012-11-22,0.74,"A",3.9,"A"
"54","USGS","05579610",2012-11-23,0.69,"A",3.94,"A"
"55","USGS","05579610",2012-11-24,0.63,"A",3.36,"A"
"56","USGS","05579610",2012-11-25,0.65,"A",3.47,"A"
"57","USGS","05579610",2012-11-26,0.62,"A",3.56,"A"
"58","USGS","05579610",2012-11-27,0.58,"A",3.11,"A"
"59","USGS","05579610",2012-11-28,0.62,"A",2.97,"A"
"60","USGS","05579610",2012-11-29,0.63,"A",3.05,"A"
"61","USGS","05579610",2012-11-30,0.64,"A",3.3,"A"
"62","USGS","05579610",2012-12-01,0.63,"A",3.11,"A"
"63","USGS","05579610",2012-12-02,0.62,"A",3.3,"A"
"64","USGS","05579610",2012-12-03,0.61,"A",3.09,"A"
"65","USGS","05579610",2012-12-04,1.13,"A",4.35,"A"
"66","USGS","05579610",2012-12-05,1.27,"A",5.38,"A"
"67","USGS","05579610",2012-12-06,1.06,"A",5.2,"A"
"68","USGS","05579610",2012-12-07,1.04,"A",5.68,"A"
"69","USGS","05579610",2012-12-08,0.94,"A",5.76,"A"
"70","USGS","05579610",2012-12-09,0.9,"A",5.48,"A"
"71","USGS","05579610",2012-12-10,0.88,"A",5.4,"A"
"72","USGS","05579610",2012-12-11,0.76,"A",5.05,"A"
"73","USGS","05579610",2012-12-12,0.71,"A",4.9,"A"
"74","USGS","05579610",2012-12-13,0.69,"A",4.74,"A"
"75","USGS","05579610",2012-12-14,0.68,"A",4.74,"A"
"76","USGS","05579610",2012-12-15,0.86,"A",4.92,"A"
"77","USGS","05579610",2012-12-16,0.95,"A",5.47,"A"
"78","USGS","05579610",2012-12-17,0.93,"A",5.49,"A"
"79","USGS","05579610",2012-12-18,0.93,"A",5.53,"A"
"80","USGS","05579610",2012-12-19,0.81,"A",5.51,"A"
"81","USGS","05579610",2012-12-20,5.71,"A",NA,NA
"82","USGS","05579610",2012-12-21,7.53,"A",NA,NA
"83","USGS","05579610",2012-12-22,3.03,"A",NA,NA
"84","USGS","05579610",2012-12-23,2.66,"A",NA,NA
"85","USGS","05579610",2012-12-24,2.25,"A",NA,NA
"86","USGS","05579610",2012-12-25,1.76,"A",NA,NA
"87","USGS","05579610",2012-12-26,1.65,"A",NA,NA
"88","USGS","05579610",2012-12-27,1.5,"A",NA,NA
"89","USGS","05579610",2012-12-28,1.45,"A",NA,NA
"90","USGS","05579610",2012-12-29,1.38,"A",NA,NA
"91","USGS","05579610",2012-12-30,1.14,"A",NA,NA
"92","USGS","05579610",2012-12-31,1.19,"A",NA,NA
"93","USGS","05579610",2013-01-01,1.09,"A",NA,NA
