"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","03216070",2015-09-03,NA,NA,0.44,"A"
"2","USGS","03216070",2015-09-04,17200,"A",NA,NA
"3","USGS","03216070",2015-09-05,15200,"A",0.48,"A"
"4","USGS","03216070",2015-09-06,15000,"A",0.46,"A"
"5","USGS","03216070",2015-09-07,16200,"A",0.45,"A"
"6","USGS","03216070",2015-09-08,18100,"A",0.47,"A"
"7","USGS","03216070",2015-09-09,13300,"A",0.48,"A"
"8","USGS","03216070",2015-09-10,30500,"A",0.5,"A"
"9","USGS","03216070",2015-09-11,23900,"A",0.48,"A"
"10","USGS","03216070",2015-09-12,11300,"A",0.5,"A"
"11","USGS","03216070",2015-09-13,21300,"A",0.52,"A"
"12","USGS","03216070",2015-09-14,22900,"A",0.54,"A"
"13","USGS","03216070",2015-09-15,18900,"A",0.57,"A"
"14","USGS","03216070",2015-09-16,17200,"A",0.52,"A"
"15","USGS","03216070",2015-09-17,23300,"A",0.54,"A"
"16","USGS","03216070",2015-09-18,18600,"A",0.56,"A"
"17","USGS","03216070",2015-09-19,12600,"A",0.53,"A"
"18","USGS","03216070",2015-09-20,14900,"A",0.54,"A"
"19","USGS","03216070",2015-09-21,17000,"A",0.54,"A"
"20","USGS","03216070",2015-09-22,14500,"A",0.56,"A"
"21","USGS","03216070",2015-09-23,13200,"A",NA,NA
"22","USGS","03216070",2015-09-24,13600,"A",0.5,"A"
"23","USGS","03216070",2015-09-25,12400,"A",0.53,"A"
"24","USGS","03216070",2015-09-26,12100,"A",0.54,"A"
"25","USGS","03216070",2015-09-27,13100,"A",0.54,"A"
"26","USGS","03216070",2015-09-28,17400,"A",0.54,"A"
"27","USGS","03216070",2015-09-29,22500,"A",0.49,"A"
"28","USGS","03216070",2015-09-30,84100,"A",0.51,"A"
"29","USGS","03216070",2015-10-01,86700,"A",0.63,"A"
"30","USGS","03216070",2015-10-02,65900,"A",0.63,"A"
"31","USGS","03216070",2015-10-03,53500,"A",0.63,"A"
"32","USGS","03216070",2015-10-04,45900,"A",0.67,"A"
"33","USGS","03216070",2015-10-05,41400,"A",0.73,"A"
