"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","05418110",2012-10-01,26.4,"A",5.65,"A"
"2","USGS","05418110",2012-10-02,26.3,"A",6.13,"A"
"3","USGS","05418110",2012-10-03,26.3,"A",6.07,"A"
"4","USGS","05418110",2012-10-04,26.2,"A",6.1,"A"
"5","USGS","05418110",2012-10-05,25.7,"A",6.26,"A"
"6","USGS","05418110",2012-10-06,26.4,"A",6.54,"A"
"7","USGS","05418110",2012-10-07,26.8,"A",6.69,"A"
"8","USGS","05418110",2012-10-08,27,"A",6.73,"A"
"9","USGS","05418110",2012-10-09,28.3,"A",6.66,"A"
"10","USGS","05418110",2012-10-10,28.1,"A",6.58,"A"
"11","USGS","05418110",2012-10-11,27.4,"A",6.58,"A"
"12","USGS","05418110",2012-10-12,26.8,"A",6.59,"A"
"13","USGS","05418110",2012-10-13,33.4,"A",5.84,"A"
"14","USGS","05418110",2012-10-14,49.7,"A",4.78,"A"
"15","USGS","05418110",2012-10-15,41.5,"A",NA,NA
"16","USGS","05418110",2012-10-16,32.7,"A",NA,NA
"17","USGS","05418110",2012-10-17,29.7,"A",NA,NA
"18","USGS","05418110",2012-10-18,29.2,"A",NA,NA
"19","USGS","05418110",2012-10-19,29,"A",NA,NA
"20","USGS","05418110",2012-10-20,27.6,"A",NA,NA
"21","USGS","05418110",2012-10-21,28.2,"A",NA,NA
"22","USGS","05418110",2012-10-22,38.2,"A",NA,NA
"23","USGS","05418110",2012-10-23,34.4,"A",NA,NA
"24","USGS","05418110",2012-10-24,30.5,"A",NA,NA
"25","USGS","05418110",2012-10-25,29.1,"A",NA,NA
"26","USGS","05418110",2012-10-26,27.1,"A",NA,NA
"27","USGS","05418110",2012-10-27,25.7,"A",NA,NA
"28","USGS","05418110",2012-10-28,25.6,"A",NA,NA
"29","USGS","05418110",2012-10-29,25.6,"A",NA,NA
"30","USGS","05418110",2012-10-30,25.9,"A",NA,NA
"31","USGS","05418110",2012-10-31,26,"A",NA,NA
"32","USGS","05418110",2012-11-01,26.1,"A",NA,NA
"33","USGS","05418110",2012-11-02,25.7,"A",NA,NA
"34","USGS","05418110",2012-11-03,25.6,"A",NA,NA
"35","USGS","05418110",2012-11-04,25.5,"A",NA,NA
"36","USGS","05418110",2012-11-05,25.9,"A",NA,NA
"37","USGS","05418110",2012-11-06,27.9,"A",NA,NA
"38","USGS","05418110",2012-11-07,27.7,"A",NA,NA
"39","USGS","05418110",2012-11-08,28.5,"A",NA,NA
"40","USGS","05418110",2012-11-09,26.2,"A",NA,NA
"41","USGS","05418110",2012-11-10,27,"A",NA,NA
"42","USGS","05418110",2012-11-11,41.7,"A",NA,NA
"43","USGS","05418110",2012-11-12,36.7,"A",NA,NA
"44","USGS","05418110",2012-11-13,30.7,"A",NA,NA
"45","USGS","05418110",2012-11-14,27.8,"A",NA,NA
"46","USGS","05418110",2012-11-15,26.6,"A",NA,NA
"47","USGS","05418110",2012-11-16,26.1,"A",NA,NA
"48","USGS","05418110",2012-11-17,25.7,"A",NA,NA
"49","USGS","05418110",2012-11-18,25.8,"A",NA,NA
"50","USGS","05418110",2012-11-19,26.1,"A",NA,NA
"51","USGS","05418110",2012-11-20,25.9,"A",NA,NA
"52","USGS","05418110",2012-11-21,25.9,"A",NA,NA
"53","USGS","05418110",2012-11-22,26.2,"A",NA,NA
"54","USGS","05418110",2012-11-23,25.2,"A",NA,NA
"55","USGS","05418110",2012-11-24,25.3,"A",NA,NA
"56","USGS","05418110",2012-11-25,25.9,"A",NA,NA
"57","USGS","05418110",2012-11-26,25.6,"A",NA,NA
"58","USGS","05418110",2012-11-27,24.8,"A",NA,NA
"59","USGS","05418110",2012-11-28,25.3,"A",NA,NA
"60","USGS","05418110",2012-11-29,25.8,"A",NA,NA
"61","USGS","05418110",2012-11-30,25.9,"A",NA,NA
"62","USGS","05418110",2012-12-01,26.1,"A",NA,NA
"63","USGS","05418110",2012-12-02,26.2,"A",NA,NA
"64","USGS","05418110",2012-12-03,26,"A",NA,NA
"65","USGS","05418110",2012-12-04,25.4,"A",NA,NA
"66","USGS","05418110",2012-12-05,24.7,"A",NA,NA
"67","USGS","05418110",2012-12-06,25.4,"A",NA,NA
"68","USGS","05418110",2012-12-07,25.2,"A",NA,NA
"69","USGS","05418110",2012-12-08,24.9,"A",NA,NA
"70","USGS","05418110",2012-12-09,26.6,"A",NA,NA
"71","USGS","05418110",2012-12-10,25.7,"A",NA,NA
"72","USGS","05418110",2012-12-11,24.7,"A",NA,NA
"73","USGS","05418110",2012-12-12,24.5,"A",NA,NA
"74","USGS","05418110",2012-12-13,24.5,"A",NA,NA
"75","USGS","05418110",2012-12-14,24.6,"A",NA,NA
"76","USGS","05418110",2012-12-15,31.1,"A",NA,NA
"77","USGS","05418110",2012-12-16,28.7,"A",NA,NA
"78","USGS","05418110",2012-12-17,26.6,"A",NA,NA
"79","USGS","05418110",2012-12-18,25.6,"A",NA,NA
"80","USGS","05418110",2012-12-19,25,"A",NA,NA
"81","USGS","05418110",2012-12-20,23.2,"A",NA,NA
"82","USGS","05418110",2012-12-21,19.1,"A",NA,NA
"83","USGS","05418110",2012-12-22,18,"A e",NA,NA
"84","USGS","05418110",2012-12-23,16.9,"A e",NA,NA
"85","USGS","05418110",2012-12-24,15.7,"A e",NA,NA
"86","USGS","05418110",2012-12-25,16.1,"A e",NA,NA
"87","USGS","05418110",2012-12-26,15.3,"A e",NA,NA
"88","USGS","05418110",2012-12-27,16.5,"A e",NA,NA
"89","USGS","05418110",2012-12-28,16.5,"A e",NA,NA
"90","USGS","05418110",2012-12-29,15.7,"A e",NA,NA
"91","USGS","05418110",2012-12-30,16.5,"A e",NA,NA
"92","USGS","05418110",2012-12-31,16.5,"A e",NA,NA
"93","USGS","05418110",2013-01-01,15.7,"A e",NA,NA
"94","USGS","05418110",2013-01-02,16.9,"A e",NA,NA
"95","USGS","05418110",2013-01-03,16.9,"A e",NA,NA
"96","USGS","05418110",2013-01-04,17.6,"A e",NA,NA
"97","USGS","05418110",2013-01-05,17.6,"A e",NA,NA
"98","USGS","05418110",2013-01-06,16.9,"A e",NA,NA
"99","USGS","05418110",2013-01-07,16.5,"A e",NA,NA
"100","USGS","05418110",2013-01-08,17.3,"A e",NA,NA
"101","USGS","05418110",2013-01-09,17.6,"A e",NA,NA
"102","USGS","05418110",2013-01-10,16.9,"A e",NA,NA
"103","USGS","05418110",2013-01-11,17.6,"A e",NA,NA
"104","USGS","05418110",2013-01-12,18.4,"A e",NA,NA
"105","USGS","05418110",2013-01-13,19.2,"A e",NA,NA
"106","USGS","05418110",2013-01-14,20,"A e",NA,NA
"107","USGS","05418110",2013-01-15,20.4,"A e",NA,NA
"108","USGS","05418110",2013-01-16,20.8,"A e",NA,NA
"109","USGS","05418110",2013-01-17,19.6,"A e",NA,NA
"110","USGS","05418110",2013-01-18,15.3,"A e",NA,NA
"111","USGS","05418110",2013-01-19,16.1,"A e",NA,NA
"112","USGS","05418110",2013-01-20,14.5,"A e",NA,NA
"113","USGS","05418110",2013-01-21,12.2,"A e",NA,NA
"114","USGS","05418110",2013-01-22,12.6,"A e",NA,NA
"115","USGS","05418110",2013-01-23,12.2,"A e",NA,NA
"116","USGS","05418110",2013-01-24,11.4,"A e",NA,NA
