"","agency_cd","site_no","Date","X_99133_00003","X_99133_00003_cd"
"1","USGS","03275990",2017-03-30,1.9,"A"
"2","USGS","03275990",2017-03-31,1.9,"A"
"3","USGS","03275990",2017-04-01,1.9,"A"
"4","USGS","03275990",2017-04-02,1.9,"A"
"5","USGS","03275990",2017-04-03,2,"A"
"6","USGS","03275990",2017-04-04,1.9,"A"
"7","USGS","03275990",2017-04-05,1.9,"A"
"8","USGS","03275990",2017-04-06,1.9,"A"
"9","USGS","03275990",2017-04-07,1.9,"A"
"10","USGS","03275990",2017-04-08,2,"A"
"11","USGS","03275990",2017-04-09,2,"A"
"12","USGS","03275990",2017-04-10,2,"A"
"13","USGS","03275990",2017-04-11,2,"A"
"14","USGS","03275990",2017-04-12,2.1,"A"
"15","USGS","03275990",2017-04-13,2.1,"A"
"16","USGS","03275990",2017-04-14,2.1,"A"
"17","USGS","03275990",2017-04-15,2.1,"A"
"18","USGS","03275990",2017-04-16,2,"A"
"19","USGS","03275990",2017-04-17,2.1,"A"
"20","USGS","03275990",2017-04-18,2.1,"A"
"21","USGS","03275990",2017-04-19,2.1,"A"
"22","USGS","03275990",2017-04-20,2.1,"A"
"23","USGS","03275990",2017-04-21,2.1,"A"
"24","USGS","03275990",2017-04-22,2.2,"A"
"25","USGS","03275990",2017-04-23,2.2,"A"
"26","USGS","03275990",2017-04-24,2.2,"A"
"27","USGS","03275990",2017-04-25,2.2,"A"
"28","USGS","03275990",2017-04-26,2.2,"A"
"29","USGS","03275990",2017-04-27,2.1,"A"
"30","USGS","03275990",2017-04-28,2.2,"A [4]"
"31","USGS","03275990",2017-04-29,2.1,"A [4]"
"32","USGS","03275990",2017-04-30,2.1,"A"
"33","USGS","03275990",2017-05-01,2.1,"A"
"34","USGS","03275990",2017-05-02,2.1,"A"
"35","USGS","03275990",2017-05-03,2.1,"A"
"36","USGS","03275990",2017-05-04,2.1,"A"
"37","USGS","03275990",2017-05-05,2.1,"A"
"38","USGS","03275990",2017-05-06,2.1,"A"
"39","USGS","03275990",2017-05-07,2.1,"A"
"40","USGS","03275990",2017-05-08,2.1,"A"
"41","USGS","03275990",2017-05-09,2.1,"A"
"42","USGS","03275990",2017-05-10,2.1,"A"
"43","USGS","03275990",2017-05-11,2.1,"A"
"44","USGS","03275990",2017-05-12,2.1,"A"
"45","USGS","03275990",2017-05-13,2.1,"A"
"46","USGS","03275990",2017-05-14,2.1,"A"
"47","USGS","03275990",2017-05-15,2.1,"A"
"48","USGS","03275990",2017-05-16,2,"A"
"49","USGS","03275990",2017-05-17,2.1,"A"
"50","USGS","03275990",2017-05-18,2.1,"A"
"51","USGS","03275990",2017-05-19,2,"A"
"52","USGS","03275990",2017-05-20,2,"A"
"53","USGS","03275990",2017-05-21,2,"A"
"54","USGS","03275990",2017-05-22,2,"A"
"55","USGS","03275990",2017-05-23,2,"A"
"56","USGS","03275990",2017-05-24,1.9,"A"
"57","USGS","03275990",2017-05-25,1.9,"A"
"58","USGS","03275990",2017-05-26,1.9,"A"
"59","USGS","03275990",2017-05-27,1.9,"A"
"60","USGS","03275990",2017-05-28,2,"A"
"61","USGS","03275990",2017-05-29,2.1,"A"
"62","USGS","03275990",2017-05-30,2,"A"
"63","USGS","03275990",2017-05-31,1.9,"A"
"64","USGS","03275990",2017-06-01,1.9,"A"
"65","USGS","03275990",2017-06-02,1.8,"A"
"66","USGS","03275990",2017-06-03,1.7,"A"
"67","USGS","03275990",2017-06-04,1.7,"A"
"68","USGS","03275990",2017-06-05,1.7,"A"
"69","USGS","03275990",2017-06-06,1.6,"A"
"70","USGS","03275990",2017-06-07,1.6,"A"
"71","USGS","03275990",2017-06-08,1.6,"A"
"72","USGS","03275990",2017-06-09,1.7,"A"
"73","USGS","03275990",2017-06-10,1.8,"A"
"74","USGS","03275990",2017-06-11,1.8,"A"
"75","USGS","03275990",2017-06-12,1.8,"A"
"76","USGS","03275990",2017-06-13,1.8,"A"
"77","USGS","03275990",2017-06-14,1.7,"A"
"78","USGS","03275990",2017-06-15,1.7,"A"
"79","USGS","03275990",2017-06-16,1.7,"A"
"80","USGS","03275990",2017-06-17,1.7,"A"
"81","USGS","03275990",2017-06-18,1.7,"A"
