"","agency_cd","site_no","Date","X_99133_00003","X_99133_00003_cd"
"1","USGS","05579624",2014-04-01,6.44,"A"
"2","USGS","05579624",2014-04-02,5.95,"A"
"3","USGS","05579624",2014-04-03,7.62,"A"
"4","USGS","05579624",2014-04-04,10.2,"A"
"5","USGS","05579624",2014-04-05,9.61,"A"
"6","USGS","05579624",2014-04-06,9.33,"A"
"7","USGS","05579624",2014-04-07,9.13,"A"
"8","USGS","05579624",2014-04-08,8.61,"A"
"9","USGS","05579624",2014-04-09,8.2,"A"
"10","USGS","05579624",2014-04-10,8.26,"A"
"11","USGS","05579624",2014-04-11,7.62,"A"
"12","USGS","05579624",2014-04-12,7.62,"A"
"13","USGS","05579624",2014-04-13,7.67,"A"
"14","USGS","05579624",2014-04-14,7.24,"A"
"15","USGS","05579624",2014-04-15,6.74,"A"
"16","USGS","05579624",2014-04-16,6.63,"A"
"17","USGS","05579624",2014-04-17,6.67,"A"
"18","USGS","05579624",2014-04-18,6.29,"A"
"19","USGS","05579624",2014-04-19,6.19,"A"
"20","USGS","05579624",2014-04-20,6.22,"A"
"21","USGS","05579624",2014-04-21,6.35,"A"
"22","USGS","05579624",2014-04-22,6.39,"A"
"23","USGS","05579624",2014-04-23,6.22,"A"
"24","USGS","05579624",2014-04-24,5.92,"A"
"25","USGS","05579624",2014-04-25,5.77,"A"
"26","USGS","05579624",2014-04-26,4.93,"A"
"27","USGS","05579624",2014-04-27,5.28,"A"
"28","USGS","05579624",2014-04-28,5.19,"A"
"29","USGS","05579624",2014-04-29,4.91,"A"
"30","USGS","05579624",2014-04-30,4.5,"A"
"31","USGS","05579624",2014-05-01,4.84,"A"
"32","USGS","05579624",2014-05-02,4.99,"A"
"33","USGS","05579624",2014-05-03,5.02,"A"
"34","USGS","05579624",2014-05-04,4.64,"A"
"35","USGS","05579624",2014-05-05,4.57,"A"
"36","USGS","05579624",2014-05-06,4.4,"A"
"37","USGS","05579624",2014-05-07,4.46,"A"
"38","USGS","05579624",2014-05-08,3.82,"A"
"39","USGS","05579624",2014-05-09,4.07,"A"
