"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","03336890",2013-05-22,28.4,"A",NA,NA
"2","USGS","03336890",2013-05-23,24.4,"A",NA,NA
"3","USGS","03336890",2013-05-24,20.4,"A",NA,NA
"4","USGS","03336890",2013-05-25,20.7,"A",6.2,"A"
"5","USGS","03336890",2013-05-26,21.5,"A",6.32,"A"
"6","USGS","03336890",2013-05-27,24.7,"A",6.35,"A"
"7","USGS","03336890",2013-05-28,51.2,"A",8.59,"A"
"8","USGS","03336890",2013-05-29,36.7,"A",9.16,"A"
"9","USGS","03336890",2013-05-30,31.1,"A",7.58,"A"
"10","USGS","03336890",2013-05-31,37.6,"A",7.21,"A"
"11","USGS","03336890",2013-06-01,226,"A",13.6,"A"
"12","USGS","03336890",2013-06-02,158,"A",14.9,"A"
"13","USGS","03336890",2013-06-03,89.3,"A",12.4,"A"
"14","USGS","03336890",2013-06-04,63.4,"A",11.5,"A"
"15","USGS","03336890",2013-06-05,51.8,"A",10.6,"A"
"16","USGS","03336890",2013-06-06,45.5,"A",10.1,"A"
"17","USGS","03336890",2013-06-07,40.6,"A",9.57,"A"
"18","USGS","03336890",2013-06-08,36.4,"A",9.27,"A"
"19","USGS","03336890",2013-06-09,34.1,"A",8.83,"A"
"20","USGS","03336890",2013-06-10,32.6,"A",8.68,"A"
"21","USGS","03336890",2013-06-11,29.1,"A",8.23,"A"
"22","USGS","03336890",2013-06-12,28.4,"A",7.91,"A"
"23","USGS","03336890",2013-06-13,25.6,"A",7.6,"A"
"24","USGS","03336890",2013-06-14,22.3,"A",7.43,"A"
"25","USGS","03336890",2013-06-15,22.4,"A",6.98,"A"
"26","USGS","03336890",2013-06-16,22.5,"A",6.88,"A"
"27","USGS","03336890",2013-06-17,21.3,"A",6.79,"A"
"28","USGS","03336890",2013-06-18,19.9,"A",6.41,"A"
"29","USGS","03336890",2013-06-19,18.2,"A",6.05,"A"
"30","USGS","03336890",2013-06-20,17.6,"A",5.69,"A"
"31","USGS","03336890",2013-06-21,17.2,"A",5.42,"A"
"32","USGS","03336890",2013-06-22,33.4,"A",5.51,"A"
"33","USGS","03336890",2013-06-23,59,"A",5.56,"A"
"34","USGS","03336890",2013-06-24,29.9,"A",5.9,"A"
"35","USGS","03336890",2013-06-25,50.5,"A",8.67,"A"
"36","USGS","03336890",2013-06-26,117,"A",8.81,"A"
"37","USGS","03336890",2013-06-27,47.7,"A",8.91,"A"
"38","USGS","03336890",2013-06-28,32.5,"A",7.64,"A"
"39","USGS","03336890",2013-06-29,29.8,"A",6.69,"A"
"40","USGS","03336890",2013-06-30,43,"A",7.19,"A"
"41","USGS","03336890",2013-07-01,26.7,"A",6.93,"A"
"42","USGS","03336890",2013-07-02,21.1,"A",6.23,"A"
"43","USGS","03336890",2013-07-03,19.2,"A",5.83,"A"
"44","USGS","03336890",2013-07-04,17.7,"A",5.36,"A"
"45","USGS","03336890",2013-07-05,16.9,"A",4.76,"A"
"46","USGS","03336890",2013-07-06,16.6,"A",4.31,"A"
"47","USGS","03336890",2013-07-07,16.4,"A",4.22,"A"
"48","USGS","03336890",2013-07-08,15.7,"A",3.79,"A"
"49","USGS","03336890",2013-07-09,15,"A",3.45,"A"
"50","USGS","03336890",2013-07-10,51.5,"A",4.47,"A"
"51","USGS","03336890",2013-07-11,79.4,"A",6.84,"A"
"52","USGS","03336890",2013-07-12,34.2,"A",6.66,"A"
"53","USGS","03336890",2013-07-13,22.3,"A",5.61,"A"
"54","USGS","03336890",2013-07-14,16.8,"A",4.72,"A"
"55","USGS","03336890",2013-07-15,13.4,"A",3.89,"A"
"56","USGS","03336890",2013-07-16,11.4,"A",3.22,"A"
"57","USGS","03336890",2013-07-17,9.99,"A",2.62,"A"
"58","USGS","03336890",2013-07-18,9.08,"A",2.19,"A"
"59","USGS","03336890",2013-07-19,8.37,"A",1.85,"A"
"60","USGS","03336890",2013-07-20,7.81,"A",1.6,"A"
"61","USGS","03336890",2013-07-21,7.06,"A",1.36,"A"
"62","USGS","03336890",2013-07-22,7.39,"A",1.56,"A"
"63","USGS","03336890",2013-07-23,6.42,"A",1.15,"A"
"64","USGS","03336890",2013-07-24,5.6,"A",0.92,"A"
"65","USGS","03336890",2013-07-25,5.21,"A",0.78,"A"
"66","USGS","03336890",2013-07-26,5.2,"A",0.67,"A"
"67","USGS","03336890",2013-07-27,5.29,"A",0.68,"A"
"68","USGS","03336890",2013-07-28,5.48,"A",0.6,"A"
"69","USGS","03336890",2013-07-29,6.53,"A",0.53,"A"
"70","USGS","03336890",2013-07-30,7,"A",0.52,"A"
"71","USGS","03336890",2013-07-31,6.9,"A",0.84,"A"
"72","USGS","03336890",2013-08-01,6.43,"A",1,"A"
"73","USGS","03336890",2013-08-02,4.84,"A",0.82,"A"
