"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","X_99133_00003","X_99133_00003_cd"
"1","USGS","05579620",2012-10-01,0,"A",0.79,"A"
"2","USGS","05579620",2012-10-02,0,"A",0.79,"A"
"3","USGS","05579620",2012-10-03,0,"A",0.51,"A"
"4","USGS","05579620",2012-10-04,0,"A",0.65,"A"
"5","USGS","05579620",2012-10-05,0.72,"A",0.84,"A"
"6","USGS","05579620",2012-10-06,0.02,"A",1.06,"A"
"7","USGS","05579620",2012-10-07,0.01,"A",1.24,"A"
"8","USGS","05579620",2012-10-08,0,"A",1.26,"A"
"9","USGS","05579620",2012-10-09,0,"A",1.23,"A"
"10","USGS","05579620",2012-10-10,0,"A",1.26,"A"
"11","USGS","05579620",2012-10-11,0,"A",1.23,"A"
"12","USGS","05579620",2012-10-12,0,"A",1.04,"A"
"13","USGS","05579620",2012-10-13,0.68,"A",1.05,"A"
"14","USGS","05579620",2012-10-14,3.47,"A",4.11,"A"
"15","USGS","05579620",2012-10-15,1.5,"A",5.52,"A"
"16","USGS","05579620",2012-10-16,1.09,"A",5.43,"A"
"17","USGS","05579620",2012-10-17,1.21,"A",4.71,"A"
"18","USGS","05579620",2012-10-18,2.98,"A",6.03,"A"
"19","USGS","05579620",2012-10-19,1.99,"A",6.05,"A"
"20","USGS","05579620",2012-10-20,3.64,"A",7,"A"
"21","USGS","05579620",2012-10-21,2.28,"A",7.47,"A"
"22","USGS","05579620",2012-10-22,3.77,"A",6.77,"A"
"23","USGS","05579620",2012-10-23,3.33,"A",7.51,"A"
"24","USGS","05579620",2012-10-24,2.45,"A",7.67,"A"
"25","USGS","05579620",2012-10-25,2.94,"A",7.09,"A"
"26","USGS","05579620",2012-10-26,10.5,"A",8.18,"A"
"27","USGS","05579620",2012-10-27,3.97,"A",8.72,"A"
"28","USGS","05579620",2012-10-28,2.74,"A",8.5,"A"
"29","USGS","05579620",2012-10-29,2.39,"A",8.31,"A"
"30","USGS","05579620",2012-10-30,2.29,"A",8.27,"A"
"31","USGS","05579620",2012-10-31,2.03,"A",8.01,"A"
"32","USGS","05579620",2012-11-01,1.85,"A",7.84,"A"
"33","USGS","05579620",2012-11-02,1.71,"A",7.63,"A"
"34","USGS","05579620",2012-11-03,1.63,"A",7.42,"A"
"35","USGS","05579620",2012-11-04,1.59,"A",7.37,"A"
"36","USGS","05579620",2012-11-05,1.53,"A",7.34,"A"
"37","USGS","05579620",2012-11-06,1.54,"A",7.31,"A"
"38","USGS","05579620",2012-11-07,1.47,"A",6.97,"A"
"39","USGS","05579620",2012-11-08,1.38,"A",6.91,"A"
"40","USGS","05579620",2012-11-09,1.41,"A",7.06,"A"
"41","USGS","05579620",2012-11-10,1.35,"A",6.97,"A"
"42","USGS","05579620",2012-11-11,1.38,"A",6.75,"A"
"43","USGS","05579620",2012-11-12,1.82,"A",5.4,"A"
"44","USGS","05579620",2012-11-13,1.47,"A",6.57,"A"
"45","USGS","05579620",2012-11-14,1.41,"A",7.01,"A"
"46","USGS","05579620",2012-11-15,1.41,"A",7.13,"A"
"47","USGS","05579620",2012-11-16,1.33,"A",7,"A"
"48","USGS","05579620",2012-11-17,1.32,"A",6.91,"A"
"49","USGS","05579620",2012-11-18,1.32,"A",6.98,"A"
"50","USGS","05579620",2012-11-19,1.32,"A",7.02,"A"
"51","USGS","05579620",2012-11-20,1.31,"A",6.98,"A"
"52","USGS","05579620",2012-11-21,1.24,"A",6.72,"A"
"53","USGS","05579620",2012-11-22,1.28,"A",6.88,"A"
"54","USGS","05579620",2012-11-23,1.23,"A",6.65,"A"
"55","USGS","05579620",2012-11-24,1.23,"A",6.64,"A"
"56","USGS","05579620",2012-11-25,1.26,"A",6.95,"A"
"57","USGS","05579620",2012-11-26,1.15,"A",6.45,"A"
"58","USGS","05579620",2012-11-27,1.09,"A",6.35,"A"
"59","USGS","05579620",2012-11-28,1.13,"A",6.47,"A"
"60","USGS","05579620",2012-11-29,1.19,"A",6.56,"A"
"61","USGS","05579620",2012-11-30,1.17,"A",6.56,"A"
"62","USGS","05579620",2012-12-01,1.14,"A",6.4,"A"
"63","USGS","05579620",2012-12-02,1.12,"A",6.3,"A"
"64","USGS","05579620",2012-12-03,1.09,"A",6.14,"A"
"65","USGS","05579620",2012-12-04,2.05,"A",5.38,"A"
"66","USGS","05579620",2012-12-05,1.47,"A",7.1,"A"
"67","USGS","05579620",2012-12-06,1.45,"A",7.31,"A"
"68","USGS","05579620",2012-12-07,1.41,"A",7.15,"A"
"69","USGS","05579620",2012-12-08,1.35,"A",6.98,"A"
"70","USGS","05579620",2012-12-09,1.4,"A",6.83,"A"
"71","USGS","05579620",2012-12-10,1.33,"A",6.82,"A"
"72","USGS","05579620",2012-12-11,1.24,"A",6.84,"A"
"73","USGS","05579620",2012-12-12,1.24,"A",6.74,"A"
"74","USGS","05579620",2012-12-13,1.24,"A",6.84,"A"
"75","USGS","05579620",2012-12-14,1.24,"A",6.94,"A"
"76","USGS","05579620",2012-12-15,1.51,"A",6.27,"A"
"77","USGS","05579620",2012-12-16,1.43,"A",6.58,"A"
"78","USGS","05579620",2012-12-17,1.42,"A",6.88,"A"
"79","USGS","05579620",2012-12-18,1.41,"A",6.86,"A"
"80","USGS","05579620",2012-12-19,1.34,"A",NA,NA
"81","USGS","05579620",2012-12-20,5.81,"A",NA,NA
"82","USGS","05579620",2012-12-21,3.12,"A",NA,NA
"83","USGS","05579620",2012-12-22,2.31,"A",NA,NA
"84","USGS","05579620",2012-12-23,2.15,"A",NA,NA
"85","USGS","05579620",2012-12-24,1.99,"A",NA,NA
"86","USGS","05579620",2012-12-25,1.78,"A",NA,NA
"87","USGS","05579620",2012-12-26,1.79,"A",NA,NA
"88","USGS","05579620",2012-12-27,1.68,"A",NA,NA
